ligand_id,set,Butina_clusters
2,train,8240.0
3,train,2099.0
5,train,8239.0
6,train,8238.0
8,train,8237.0
9,train,8236.0
10,train,8235.0
11,train,8234.0
12,train,234.0
13,train,8233.0
16,train,139.0
18,train,2108.0
20,train,441.0
21,train,8231.0
22,train,2133.0
23,train,705.0
26,train,8229.0
27,train,8228.0
28,train,718.0
29,train,8227.0
30,train,1162.0
31,train,2132.0
32,train,8226.0
33,train,2054.0
34,train,8225.0
35,train,8224.0
37,train,2132.0
39,train,8223.0
40,train,8222.0
41,train,8221.0
42,train,8220.0
43,train,8219.0
44,train,8218.0
45,train,8217.0
46,train,8216.0
49,train,8214.0
50,train,1118.0
52,train,8213.0
54,train,33.0
55,train,8211.0
57,train,8209.0
58,train,8208.0
59,train,1625.0
65,train,8205.0
66,train,8204.0
67,train,8203.0
69,train,33.0
70,train,8201.0
72,train,2116.0
75,train,8198.0
76,train,8197.0
77,train,8196.0
79,train,20.0
81,train,8194.0
82,train,10.0
83,train,8193.0
84,train,8192.0
85,train,8191.0
88,train,8189.0
90,train,2129.0
91,train,8188.0
92,train,1593.0
93,train,8187.0
94,train,5.0
95,train,8186.0
96,train,8185.0
100,train,8183.0
104,train,8180.0
105,train,1132.0
108,train,71.0
113,train,73.0
116,train,8177.0
118,train,2119.0
119,train,8176.0
121,train,8175.0
122,train,13.0
123,train,8174.0
125,train,465.0
126,train,716.0
127,train,397.0
128,train,2130.0
129,train,1462.0
131,train,2129.0
135,train,8171.0
136,train,716.0
139,train,211.0
140,train,8169.0
144,train,8168.0
145,train,8167.0
148,train,479.0
151,train,8166.0
152,train,43.0
153,train,8165.0
155,train,8164.0
157,train,8163.0
158,train,2048.0
159,train,1042.0
160,train,371.0
161,train,8162.0
162,train,716.0
164,train,8161.0
165,train,2128.0
166,train,237.0
170,train,8160.0
173,train,28.0
175,train,8159.0
178,train,8158.0
180,train,8157.0
182,train,25.0
184,train,8156.0
189,train,8155.0
190,train,8154.0
195,train,8152.0
196,train,8151.0
197,train,8150.0
200,train,2127.0
201,train,1811.0
203,train,8149.0
206,train,975.0
210,train,8146.0
213,train,8144.0
215,train,1223.0
217,train,325.0
221,train,96.0
225,train,8141.0
227,train,325.0
228,train,1762.0
229,train,445.0
231,train,876.0
233,train,8140.0
236,train,8139.0
240,train,2125.0
241,train,181.0
246,train,8135.0
248,train,189.0
251,train,8134.0
253,train,166.0
254,train,166.0
257,train,8132.0
259,train,8131.0
262,train,8128.0
263,train,1148.0
265,train,8126.0
266,train,8125.0
273,train,8122.0
274,train,88.0
275,train,8121.0
276,train,8120.0
279,train,99.0
280,train,64.0
283,train,8118.0
287,train,1159.0
288,train,8117.0
289,train,8116.0
292,train,707.0
293,train,46.0
294,train,211.0
295,train,684.0
298,train,10.0
300,train,56.0
312,train,26.0
313,train,8113.0
317,train,8112.0
318,train,8111.0
320,train,8110.0
321,train,8109.0
322,train,1151.0
323,train,8108.0
324,train,8107.0
326,train,21.0
327,train,8106.0
332,train,8105.0
333,train,8104.0
335,train,8103.0
336,train,8102.0
338,train,8100.0
340,train,143.0
345,train,8097.0
348,train,8095.0
350,train,8094.0
353,train,8093.0
356,train,8092.0
357,train,459.0
360,train,8091.0
361,train,458.0
363,train,1151.0
364,train,8090.0
365,train,2121.0
366,train,8089.0
370,train,8087.0
372,train,8086.0
374,train,8085.0
376,train,1157.0
377,train,1807.0
379,train,2096.0
382,train,717.0
383,train,2092.0
389,train,1212.0
391,train,8080.0
392,train,8079.0
394,train,1156.0
395,train,47.0
398,train,8076.0
400,train,8074.0
401,train,8073.0
403,train,8072.0
404,train,8071.0
406,train,238.0
407,train,8069.0
410,train,8067.0
412,train,8065.0
414,train,1523.0
418,train,324.0
420,train,1081.0
422,train,8061.0
424,train,1.0
425,train,1.0
427,train,8058.0
428,train,8057.0
429,train,8056.0
432,train,8055.0
436,train,8054.0
446,train,8051.0
447,train,323.0
448,train,8050.0
449,train,460.0
451,train,8048.0
452,train,8047.0
457,train,8045.0
461,train,1881.0
462,train,1937.0
466,train,8043.0
467,train,8042.0
473,train,8038.0
474,train,609.0
477,train,8036.0
480,train,8033.0
481,train,8032.0
482,train,98.0
486,train,2086.0
487,train,8031.0
489,train,8029.0
490,train,684.0
491,train,8028.0
492,train,8027.0
