ligand_id,cluster_id
1,1
2,2
3,3
4,4
5,5
6,6
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
18,18
19,19
20,20
21,21
22,22
23,23
24,22
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,30
35,35
36,30
37,31
39,27
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,45
54,47
55,55
56,56
57,57
58,58
59,59
60,60
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,47
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
88,88
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
100,100
101,101
103,103
104,104
105,105
106,106
108,108
109,109
111,111
112,111
113,113
114,113
115,115
116,116
118,118
119,119
121,109
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,90
134,134
135,135
136,126
138,138
139,139
140,140
141,141
142,142
144,144
145,145
148,148
149,149
150,150
151,151
152,152
153,153
155,155
157,157
158,158
159,159
160,160
161,161
162,126
163,163
164,164
165,78
166,166
170,170
171,171
173,173
175,175
178,178
179,179
180,180
182,182
184,184
189,189
190,190
194,194
195,195
196,196
197,197
200,200
201,201
202,202
203,203
204,204
206,206
207,207
208,208
210,210
211,211
213,213
215,215
216,216
217,160
218,218
219,219
221,221
222,222
225,225
226,182
227,227
228,228
229,229
230,230
231,231
233,233
234,234
236,236
237,151
240,240
241,241
243,243
244,244
245,76
246,246
248,248
249,249
250,248
251,251
253,253
254,253
256,256
257,257
258,15
259,259
260,260
261,261
262,262
263,263
264,264
265,265
266,266
268,230
269,269
270,109
271,271
272,249
273,142
274,274
275,275
276,276
279,279
280,280
281,281
283,283
284,284
287,287
288,288
289,289
292,249
293,293
294,139
295,295
298,82
299,299
300,300
301,249
302,302
303,303
306,306
307,307
310,310
312,230
313,313
317,317
318,318
320,320
321,321
322,322
323,323
324,324
325,47
326,249
327,327
328,300
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
343,343
344,344
345,345
346,346
348,348
350,350
352,352
353,353
356,356
357,357
358,358
359,111
360,360
361,196
362,299
363,322
364,364
365,163
366,366
368,368
370,370
372,372
374,374
375,375
376,376
377,377
378,378
379,379
380,380
381,381
382,141
383,383
386,160
388,388
389,389
391,391
392,392
393,393
394,218
395,395
396,230
397,397
398,398
399,399
400,400
401,401
402,402
403,403
404,404
405,405
406,406
407,407
408,408
410,410
411,411
412,412
414,414
415,415
416,166
417,417
418,179
420,420
421,421
422,422
423,423
424,134
425,134
426,426
427,427
428,428
429,429
431,306
432,432
433,118
434,128
436,436
437,196
438,438
440,440
442,442
446,446
447,447
448,448
449,449
450,450
451,451
452,452
454,454
456,456
457,457
459,459
461,461
462,462
463,249
466,466
467,467
468,468
469,469
470,470
471,471
472,472
473,473
474,474
475,475
476,476
477,477
478,478
479,479
480,480
481,480
482,482
483,170
486,486
487,487
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,263
496,496
497,493
498,498
499,499
500,500
501,501
502,502
503,503
506,506
507,507
508,508
509,509
510,510
511,230
512,512
513,513
514,514
515,182
516,516
519,519
520,520
521,521
523,523
524,524
525,253
526,526
527,395
528,528
529,529
530,530
531,531
532,14
533,533
534,534
535,535
537,537
540,420
541,541
542,72
544,544
546,546
547,547
548,548
551,551
553,293
554,554
556,556
559,559
562,562
564,564
565,565
566,566
567,567
568,90
569,569
573,573
574,574
579,579
580,580
583,160
584,584
585,579
586,586
587,587
589,589
591,562
592,592
593,593
594,67
595,595
596,357
597,200
598,322
599,599
600,340
601,601
602,170
603,603
604,200
605,605
607,607
608,608
609,447
611,611
612,447
613,613
614,614
615,615
616,616
617,617
618,618
619,619
620,620
621,621
622,622
623,623
624,624
625,625
626,626
627,627
629,629
630,630
631,631
633,584
634,634
637,637
638,221
640,640
641,113
642,642
643,643
645,645
646,337
647,647
648,648
649,649
650,650
651,651
653,653
655,655
658,658
659,659
660,660
664,664
666,666
667,667
668,668
669,669
670,670
671,671
672,263
674,674
676,23
677,677
678,678
679,196
680,680
681,681
682,682
683,683
684,684
686,605
687,357
688,688
689,689
690,690
691,691
694,307
695,695
696,696
697,166
698,402
699,699
700,700
701,701
702,702
703,703
704,704
705,170
706,608
707,707
708,708
709,709
710,710
711,584
712,249
714,714
716,716
718,718
719,719
721,98
722,722
724,605
725,725
726,726
727,727
