run,rmse,ntrain,ncal,ntest,global_coverage,joint_coverage,global_width,joint_width,global_score,joint_score,joint_fallback
butina03_seed42,0.521482050948667,8135,2029,2487,0.877362283876156,0.8797748291113792,1.4773379427684097,1.45053689559788,2.531789118194156,2.461253560926387,0.0088459991958182
butina04_seed42,0.5476850696226272,8055,2018,2578,0.8890612878200155,0.8774243599689682,1.6023987469603047,1.5124447575201478,2.589735780759899,2.54042492002753,0.0104732350659425
butina04_seed43,0.5671849328098227,8077,2033,2541,0.8964974419519874,0.8902007083825265,1.6772518828848464,1.5961339749133423,2.698279019292864,2.64332730049504,0.0157418339236521
butina04_seed44,0.5202413702435661,8201,1986,2464,0.9103084415584416,0.906655844155844,1.631183123022142,1.555176199073062,2.42823444808353,2.34977257714474,0.0101461038961038
butina04_seed45,0.5537582590400522,8009,2144,2498,0.8983186549239391,0.8839071257005604,1.7466806315363446,1.6216246982209097,2.629547349483359,2.5559439720765367,0.0044035228182546
butina04_seed46,0.5229537792395924,8100,2067,2484,0.9013687600644122,0.8957326892109501,1.6989292166537364,1.58236782360883,2.442205430786621,2.3953820658605283,0.0080515297906602
butina05_seed42,0.5677349289646161,7982,2225,2444,0.8743862520458265,0.8711129296235679,1.5320686709498552,1.516897134994336,2.7140163910285646,2.6790355228447176,0.0085924713584288
legacy_groups_registry1,0.5326716511778814,8043,2071,2537,0.9018525817895152,0.8971225857311785,1.613561666300546,1.5301491861355898,2.5398495185049854,2.459562637982802,0.0102483247930626
legacy_same_test_random_calibration,0.5251941001133253,8043,2071,2537,0.8916042569964525,0.8809617658651951,1.5067517310646104,1.4173214990520897,2.484566569654727,2.4229544647139387,0.0098541584548679
original_reinstated,0.5015842917542154,8096,2024,2531,0.898064006321612,0.8992493085736862,1.5282488352089167,1.4627223146166064,2.330338355743416,2.249581620043178,0.0114579217700513
original_reproduction,0.5005746846941459,8096,2024,2530,0.8984189723320158,0.899604743083004,1.5282488352089167,1.4625435958451252,2.323441151849896,2.244027867140012,0.0114624505928853
random_size_matched_seed42,0.4921256625732553,8055,2018,2578,0.9107835531419706,0.8983708301008534,1.5528380763488208,1.453830643082771,2.2998263095388203,2.218407831670388,0.0096974398758727
random_size_matched_seed43,0.5239695916680186,8077,2033,2541,0.8953168044077136,0.8846910665092483,1.5111729854182503,1.4387852363436675,2.5375211748189157,2.461965108124403,0.007870916961826
random_size_matched_seed44,0.5050587990459763,8201,1986,2464,0.8948863636363636,0.8912337662337663,1.5485850619001995,1.4783250632844802,2.388668552558167,2.3076303813716454,0.0060876623376623
random_size_matched_seed45,0.5080321097649381,8009,2144,2498,0.8983186549239391,0.8927141713370697,1.4725984251289486,1.4123759750035083,2.405731449252753,2.329642741144009,0.0056044835868694
random_size_matched_seed46,0.5162864672261127,8100,2067,2484,0.8957326892109501,0.8900966183574879,1.5600854578810806,1.4933110217661822,2.4707200874572877,2.385392625780788,0.0092592592592592
