ligand_id,role,cluster_id,row_index
1,train,1,0
2,train,2,1
3,train,3,2
4,train,4,3
8,train,8,6
10,train,10,8
11,train,11,9
13,train,13,11
14,train,14,12
16,train,16,14
18,train,18,15
19,train,19,16
20,train,20,17
21,train,21,18
22,train,22,19
23,train,23,20
24,train,22,21
26,train,26,23
27,train,27,24
28,train,28,25
29,train,29,26
30,train,30,27
31,train,31,28
32,train,32,29
33,train,33,30
34,train,30,31
35,train,35,32
36,train,30,33
37,train,31,34
39,train,27,35
40,train,40,36
42,train,42,38
43,train,43,39
44,train,44,40
45,train,45,41
46,train,46,42
47,train,47,43
48,train,48,44
49,train,49,45
50,train,50,46
51,train,51,47
52,train,52,48
53,train,45,49
54,train,47,50
55,train,55,51
56,train,56,52
57,train,57,53
59,train,59,55
62,train,62,57
63,train,63,58
64,train,64,59
65,train,65,60
67,train,67,62
68,train,68,63
69,train,47,64
70,train,70,65
71,train,71,66
72,train,72,67
74,train,74,69
76,train,76,71
78,train,78,73
79,train,79,74
82,train,82,77
84,train,84,79
86,train,86,81
91,train,91,84
92,train,92,85
95,train,95,88
96,train,96,89
98,train,98,91
100,train,100,92
101,train,101,93
103,train,103,94
104,train,104,95
105,train,105,96
106,train,106,97
109,train,109,99
111,train,111,100
112,train,111,101
116,train,116,105
118,train,118,106
121,train,109,108
123,train,123,110
124,train,124,111
125,train,125,112
127,train,127,114
128,train,128,115
129,train,129,116
130,train,130,117
138,train,138,122
139,train,139,123
144,train,144,127
145,train,145,128
148,train,148,129
149,train,149,130
150,train,150,131
151,train,151,132
152,train,152,133
153,train,153,134
155,train,155,135
158,train,158,137
159,train,159,138
161,train,161,140
164,train,164,143
165,train,78,144
166,train,166,145
170,train,170,146
171,train,171,147
173,train,173,148
178,train,178,150
179,train,179,151
180,train,180,152
182,train,182,153
184,train,184,154
189,train,189,155
195,train,195,158
196,train,196,159
197,train,197,160
201,train,201,162
203,train,203,164
206,train,206,166
207,train,207,167
208,train,208,168
210,train,210,169
211,train,211,170
215,train,215,172
216,train,216,173
218,train,218,175
219,train,219,176
221,train,221,177
222,train,222,178
225,train,225,179
226,train,182,180
227,train,227,181
229,train,229,183
231,train,231,185
236,train,236,188
237,train,151,189
241,train,241,191
243,train,243,192
244,train,244,193
245,train,76,194
248,train,248,196
250,train,248,198
256,train,256,202
259,train,259,205
260,train,260,206
262,train,262,208
263,train,263,209
264,train,264,210
265,train,265,211
266,train,266,212
269,train,269,214
270,train,109,215
274,train,274,219
275,train,275,220
276,train,276,221
279,train,279,222
281,train,281,224
288,train,288,228
294,train,139,232
295,train,295,233
298,train,82,234
299,train,299,235
300,train,300,236
302,train,302,238
303,train,303,239
307,train,307,241
310,train,310,242
313,train,313,244
317,train,317,245
322,train,322,249
323,train,323,250
324,train,324,251
325,train,47,252
328,train,300,255
333,train,333,257
334,train,334,258
335,train,335,259
337,train,337,261
339,train,339,263
340,train,340,264
348,train,348,269
350,train,350,270
352,train,352,271
353,train,353,272
356,train,356,273
357,train,357,274
358,train,358,275
359,train,111,276
361,train,196,278
362,train,299,279
363,train,322,280
368,train,368,284
370,train,370,285
372,train,372,286
375,train,375,288
376,train,376,289
379,train,379,292
380,train,380,293
383,train,383,296
389,train,389,299
391,train,391,300
393,train,393,302
394,train,218,303
395,train,395,304
398,train,398,307
400,train,400,309
402,train,402,311
403,train,403,312
404,train,404,313
407,train,407,316
410,train,410,318
411,train,411,319
415,train,415,322
416,train,166,323
418,train,179,325
421,train,421,327
423,train,423,329
426,train,426,332
428,train,428,334
432,train,432,337
433,train,118,338
434,train,128,339
436,train,436,340
437,train,196,341
438,train,438,342
440,train,440,343
442,train,442,344
446,train,446,345
447,train,447,346
448,train,448,347
449,train,449,348
450,train,450,349
452,train,452,351
454,train,454,352
457,train,457,354
459,train,459,355
461,train,461,356
462,train,462,357
468,train,468,361
473,train,473,366
475,train,475,368
476,train,476,369
478,train,478,371
479,train,479,372
483,train,170,376
486,train,486,377
488,train,488,379
489,train,489,380
490,train,490,381
491,train,491,382
492,train,492,383
493,train,493,384
495,train,263,386
497,train,493,388
498,train,498,389
499,train,499,390
500,train,500,391
501,train,501,392
502,train,502,393
503,train,503,394
507,train,507,396
508,train,508,397
509,train,509,398
510,train,510,399
513,train,513,402
514,train,514,403
515,train,182,404
520,train,520,407
521,train,521,408
523,train,523,409
524,train,524,410
526,train,526,412
527,train,395,413
528,train,528,414
529,train,529,415
530,train,530,416
532,train,14,418
533,train,533,419
534,train,534,420
535,train,535,421
537,train,537,422
542,train,72,425
544,train,544,426
546,train,546,427
547,train,547,428
554,train,554,432
562,train,562,435
564,train,564,436
566,train,566,438
573,train,573,442
574,train,574,443
579,train,579,444
580,train,580,445
585,train,579,448
586,train,586,449
589,train,589,451
591,train,562,452
593,train,593,454
594,train,67,455
595,train,595,456
596,train,357,457
598,train,322,459
600,train,340,461
602,train,170,463
603,train,603,464
605,train,605,466
607,train,607,467
609,train,447,469
611,train,611,470
612,train,447,471
614,train,614,473
615,train,615,474
617,train,617,476
618,train,618,477
619,train,619,478
620,train,620,479
621,train,621,480
622,train,622,481
623,train,623,482
624,train,624,483
625,train,625,484
626,train,626,485
627,train,627,486
629,train,629,487
630,train,630,488
634,train,634,491
638,train,221,493
642,train,642,496
643,train,643,497
645,train,645,498
646,train,337,499
647,train,647,500
649,train,649,502
650,train,650,503
653,train,653,505
655,train,655,506
658,train,658,507
