marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3507259903690841,0.008164867852552857,0.3534452837415642,0.03348702922590193,1.0,True
hERG-10um,0.3257915907955889,0.009596463781893674,0.3250274136871077,0.038305386054018675,1.0,False
Respiratory,0.30831201676411824,0.008144054681334266,0.3210374280205977,0.03169235497534697,1.0,True
Neurotoxicity-DI,0.26870184931183366,0.010767979242577433,0.2890600487113064,0.04220999902889564,1.0,True
NonGenotoxic_Carcinogenicity,0.017145207823906286,0.005936801342364154,0.021672260755967874,0.02415552636012988,1.0,False
Nephrotoxicity-DI,0.013659052163955873,0.011513244751711471,0.009892331442911366,0.045094191486329524,0.9333333333333333,False
Acute_Aquatic_Toxicity,0.009025029736417788,0.006914408179513835,0.015687848650323202,0.028158512246589586,0.8666666666666667,False
SkinSen,-0.00029188308085652666,0.010750929272045124,-0.013482431582574336,0.04325695461128576,0.4666666666666667,False
Skin_Sensitization,-0.0017486294199013986,0.012101446592455621,0.0014029769468763148,0.04793375867455372,0.43333333333333335,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.02411299113911382,0.007952286082895745,-0.011218111749125728,0.031758213599673436,0.0,False
Genotoxicity,-0.028871846864546493,0.008196733066295403,-0.02674510420164944,0.03289409590752064,0.0,False
H-HT,-0.03559585090154766,0.010510506329452217,-0.026364461779681478,0.04219686140423424,0.0,False
Ames,-0.04751853333196425,0.011559742169489406,-0.04252555832488463,0.04695093971607763,0.0,False
Ototoxicity,-0.06995835399017844,0.010601736183124667,-0.07178142226102315,0.040999264359134556,0.0,False
EC,-0.10060794164910379,0.012242324045143022,-0.09434868292592688,0.048543354119653,0.0,False
Carcinogenicity,-0.10289905002253921,0.00752295325431685,-0.10249764749424914,0.030575938119012405,0.0,False
Hematotoxicity,-0.11663876181501136,0.009066777415939387,-0.10412539272032677,0.03446908572121089,0.0,False
EI,-0.1822949143076886,0.01343364379463551,-0.18137853249076438,0.0533632395919993,0.0,False
DILI,-0.19689912864095394,0.00902726533236237,-0.19234718271947626,0.035334865142549875,0.0,False
