marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3607940507450625,0.007255702198193428,0.35646284775414083,0.02985784790444113,1.0,True
hERG-10um,0.33645866745707786,0.0072096558466253815,0.33440778970126644,0.028490624448142324,1.0,False
Respiratory,0.306997976788556,0.008094794495151455,0.30223864413756035,0.032123137712706855,1.0,True
Neurotoxicity-DI,0.2669343703302928,0.00901732649421583,0.24909009358158846,0.036171277793850015,1.0,True
NonGenotoxic_Carcinogenicity,0.04479961280135092,0.011314431528575601,0.04286914970550499,0.04032238388536223,1.0,False
Acute_Aquatic_Toxicity,0.02468212178964781,0.010592500094829595,0.015364142737923959,0.0403856855022354,0.9666666666666667,False
SkinSen,0.022746114397513794,0.010271397168331375,0.038635357889492274,0.03951842828217302,1.0,False
Nephrotoxicity-DI,0.0195621224274549,0.00824650372824311,0.029596561261151035,0.03193652098699931,1.0,False
Skin_Sensitization,0.009021976377868394,0.009837697246628488,0.011713807561243014,0.04066708570434484,0.8,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.01144543698495346,0.009929080733656155,-0.01035197401356458,0.03887287995667634,0.13333333333333333,False
H-HT,-0.017910653466704413,0.0069322913285317575,-0.01760387633576333,0.027764699947376452,0.03333333333333333,False
Genotoxicity,-0.027961945771682487,0.008641501420619441,-0.026811266453877037,0.03403490424808572,0.0,False
Ames,-0.03010676258475411,0.010161230889654345,-0.03365313275500561,0.039973316564576054,0.0,False
Ototoxicity,-0.05360702659287907,0.00861780957615031,-0.039476193526252736,0.03409024478194678,0.0,False
Carcinogenicity,-0.07488022395113002,0.008790026981309164,-0.07904310087335881,0.034873699648619826,0.0,False
Hematotoxicity,-0.09783059859280802,0.00667667097407582,-0.09561528299257298,0.026283602432559262,0.0,False
EC,-0.10904281802535208,0.007628682837043062,-0.12287859844805558,0.03091760925337028,0.0,False
DILI,-0.1637294139391313,0.009916084477887218,-0.15817187703800734,0.038949065100351773,0.0,False
EI,-0.20211579085474568,0.009440396078448201,-0.21445503858514178,0.03751221421494111,0.0,False
