ligand_id,role,cluster_id,row_index
12,test,234.0,10
14,test,2117.0,12
15,test,2124.0,13
18,test,2108.0,15
23,test,705.0,20
25,test,8230.0,22
27,test,8228.0,24
45,test,8217.0,41
56,test,8210.0,52
59,test,1625.0,55
63,test,1161.0,58
79,test,20.0,74
80,test,8195.0,75
91,test,8188.0,84
96,test,8185.0,89
100,test,8183.0,92
101,test,8182.0,93
103,test,8181.0,94
116,test,8177.0,105
126,test,716.0,113
129,test,1462.0,116
135,test,8171.0,120
136,test,716.0,121
150,test,1802.0,131
151,test,8166.0,132
159,test,1042.0,138
162,test,716.0,141
163,test,2121.0,142
190,test,8154.0,156
203,test,8149.0,164
204,test,8148.0,165
207,test,1677.0,167
208,test,8147.0,168
215,test,1223.0,172
217,test,325.0,174
221,test,96.0,177
227,test,325.0,181
234,test,2104.0,187
236,test,8139.0,188
240,test,2125.0,190
243,test,8138.0,192
256,test,8133.0,202
258,test,2124.0,204
271,test,8123.0,216
274,test,88.0,219
281,test,8119.0,224
288,test,8117.0,228
299,test,2122.0,235
302,test,8115.0,238
318,test,8111.0,246
320,test,8110.0,247
324,test,8107.0,251
327,test,8106.0,254
339,test,8099.0,263
343,test,8098.0,265
344,test,1201.0,266
357,test,459.0,274
358,test,1730.0,275
362,test,715.0,279
365,test,2121.0,282
381,test,8082.0,294
396,test,714.0,305
408,test,8068.0,317
410,test,8067.0,318
414,test,1523.0,321
415,test,8064.0,322
416,test,2120.0,323
447,test,323.0,346
450,test,8049.0,349
457,test,8045.0,354
462,test,1937.0,357
467,test,8042.0,360
476,test,8037.0,369
479,test,8034.0,372
487,test,8031.0,378
489,test,8029.0,380
492,test,8027.0,383
496,test,1154.0,387
503,test,1154.0,394
509,test,1558.0,398
514,test,8015.0,403
520,test,8013.0,407
521,test,8012.0,408
524,test,1271.0,410
532,test,2117.0,418
533,test,765.0,419
546,test,737.0,427
548,test,7998.0,429
566,test,1152.0,438
568,test,7991.0,440
569,test,7990.0,441
573,test,325.0,442
580,test,7988.0,445
595,test,7981.0,456
596,test,459.0,457
601,test,1679.0,462
603,test,1989.0,464
609,test,323.0,469
612,test,323.0,471
618,test,7975.0,477
623,test,455.0,482
629,test,1002.0,487
631,test,1565.0,489
638,test,96.0,493
640,test,1150.0,494
642,test,7966.0,496
658,test,1012.0,507
668,test,7954.0,513
676,test,705.0,519
680,test,7950.0,523
687,test,459.0,529
691,test,7944.0,533
695,test,7943.0,535
702,test,1876.0,542
707,test,7938.0,547
716,test,7935.0,554
722,test,7932.0,558
728,test,20.0,563
745,test,7924.0,573
746,test,321.0,574
755,test,459.0,581
759,test,7919.0,584
762,test,7918.0,586
763,test,49.0,587
773,test,7914.0,596
778,test,1303.0,599
789,test,97.0,606
800,test,1111.0,616
804,test,7901.0,620
811,test,169.0,626
815,test,1880.0,630
818,test,49.0,632
825,test,7890.0,638
829,test,2108.0,641
833,test,234.0,645
834,test,7885.0,646
840,test,168.0,651
841,test,7880.0,652
844,test,96.0,655
848,test,7876.0,659
849,test,7875.0,660
861,test,7869.0,670
862,test,7868.0,671
864,test,7866.0,673
874,test,7860.0,680
882,test,1963.0,686
883,test,7855.0,687
889,test,7850.0,692
890,test,7849.0,693
895,test,7846.0,697
905,test,7839.0,706
907,test,7837.0,708
920,test,7829.0,717
931,test,169.0,728
936,test,7818.0,731
939,test,7815.0,734
947,test,1137.0,740
954,test,7806.0,746
957,test,7804.0,749
960,test,2104.0,752
961,test,7802.0,753
965,test,7800.0,756
968,test,7798.0,759
972,test,7795.0,763
978,test,7791.0,768
982,test,7788.0,772
985,test,7785.0,775
986,test,7784.0,776
988,test,7783.0,778
989,test,7782.0,779
1009,test,7771.0,793
1015,test,7765.0,799
1021,test,7761.0,804
1027,test,7757.0,809
1028,test,7756.0,810
1029,test,7755.0,811
1041,test,7745.0,823
1042,test,7744.0,824
1044,test,7742.0,826
1046,test,395.0,828
1070,test,7722.0,849
1072,test,7720.0,851
1073,test,7719.0,852
1075,test,2098.0,854
1084,test,320.0,863
1092,test,7713.0,871
1095,test,320.0,874
1098,test,97.0,876
1100,test,790.0,878
1103,test,7711.0,881
1118,test,7703.0,894
1120,test,7701.0,896
1124,test,7697.0,900
1125,test,1954.0,901
1126,test,1083.0,902
1129,test,7694.0,905
1135,test,7690.0,911
1137,test,2098.0,913
1143,test,2097.0,917
1144,test,2097.0,918
1147,test,511.0,919
1148,test,7686.0,920
1161,test,710.0,931
1174,test,231.0,943
1177,test,96.0,946
1194,test,7664.0,961
1195,test,7663.0,962
1210,test,7652.0,973
1213,test,7649.0,976
1217,test,498.0,980
1226,test,7644.0,988
1236,test,498.0,996
1239,test,7637.0,998
1240,test,7636.0,999
1242,test,7634.0,1001
1247,test,7629.0,1006
1255,test,7621.0,1014
1257,test,7619.0,1016
1258,test,2093.0,1017
1259,test,2093.0,1018
1262,test,7617.0,1021
1264,test,7615.0,1023
1267,test,7613.0,1025
1283,test,7604.0,1039
1302,test,7595.0,1055
1307,test,7592.0,1060
1309,test,7591.0,1062
1326,test,740.0,1078
1337,test,42.0,1089
1349,test,7567.0,1101
1358,test,7562.0,1107
1360,test,1105.0,1109
1363,test,7559.0,1112
1366,test,1092.0,1115
1367,test,685.0,1116
1382,test,7547.0,1129
1386,test,7544.0,1132
1388,test,7543.0,1134
1402,test,7531.0,1147
1403,test,7530.0,1148
1412,test,7527.0,1156
1429,test,455.0,1171
1431,test,455.0,1173
1432,test,686.0,1174
1439,test,705.0,1181
1442,test,7516.0,1184
1452,test,7510.0,1194
1470,test,2079.0,1211
1471,test,2079.0,1212
1472,test,7499.0,1213
1474,test,7498.0,1214
1476,test,7497.0,1216
1481,test,1889.0,1220
1498,test,49.0,1236
1502,test,7482.0,1240
1504,test,1980.0,1241
1505,test,323.0,1242
1508,test,715.0,1244
1538,test,7466.0,1268
1539,test,1152.0,1269
1542,test,7463.0,1271
1559,test,7455.0,1287
1567,test,7453.0,1293
1591,test,7439.0,1313
1592,test,7438.0,1314
1597,test,7433.0,1319
1599,test,7431.0,1321
1602,test,1041.0,1324
1604,test,576.0,1325
1611,test,7427.0,1330
1616,test,1137.0,1335
1617,test,7424.0,1336
1629,test,7419.0,1343
1655,test,7405.0,1364
1668,test,7397.0,1376
1674,test,7393.0,1382
1687,test,1136.0,1394
1690,test,1135.0,1397
1694,test,7380.0,1401
1710,test,7372.0,1414
1715,test,7369.0,1418
1726,test,937.0,1429
1727,test,588.0,1430
1736,test,7356.0,1438
1739,test,7355.0,1441
1746,test,1135.0,1447
1747,test,1135.0,1448
1758,test,320.0,1459
1759,test,320.0,1460
1761,test,7344.0,1461
1769,test,7341.0,1468
1772,test,7339.0,1471
1775,test,7337.0,1474
1781,test,317.0,1479
1791,test,700.0,1489
1797,test,173.0,1495
1800,test,7325.0,1498
1808,test,7321.0,1504
1809,test,7320.0,1505
1813,test,320.0,1509
1819,test,7313.0,1514
1821,test,7311.0,1516
1823,test,7309.0,1518
1825,test,7307.0,1520
1845,test,173.0,1537
1848,test,700.0,1540
1854,test,7293.0,1546
1857,test,49.0,1548
1859,test,42.0,1550
1860,test,49.0,1551
1861,test,49.0,1552
1867,test,7289.0,1556
1868,test,1131.0,1557
1874,test,7283.0,1563
1876,test,7281.0,1565
1916,test,229.0,1599
1922,test,20.0,1605
1925,test,698.0,1608
1929,test,7253.0,1610
1936,test,7252.0,1615
1939,test,7249.0,1618
1942,test,7248.0,1621
1944,test,7247.0,1623
1951,test,310.0,1629
1963,test,697.0,1641
1976,test,49.0,1652
1978,test,49.0,1653
1980,test,7225.0,1655
1991,test,7218.0,1665
1995,test,150.0,1668
1999,test,7212.0,1672
2001,test,199.0,1674
2008,test,7206.0,1678
2014,test,353.0,1684
2016,test,7203.0,1686
2040,test,2041.0,1707
2042,test,49.0,1708
2043,test,49.0,1709
2051,test,96.0,1716
