marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3540936394122102,0.006213733853569026,0.36152453044772603,0.025156920567252484,1.0,True
hERG-10um,0.3380966015622173,0.007128174029168875,0.35313201388057885,0.028251138542010574,1.0,False
Respiratory,0.30781135514019986,0.007132601464599837,0.3113975457862504,0.028615114961835948,1.0,True
Neurotoxicity-DI,0.2601781705836748,0.007661906937817457,0.25904336669948796,0.030303697927147558,1.0,True
NonGenotoxic_Carcinogenicity,0.04019996641777522,0.007706090489150345,0.034481041998462886,0.02849061252209587,1.0,False
Acute_Aquatic_Toxicity,0.023161685356701028,0.010294005399966536,0.01353297432881831,0.041044268177939845,1.0,False
Nephrotoxicity-DI,0.0213520295217346,0.007575967674306819,0.02346864464225018,0.030765571341389165,1.0,False
SkinSen,0.015009316655931573,0.009147346712586655,0.028797332512501772,0.036185678656435384,0.9333333333333333,False
Skin_Sensitization,-0.0018429993602056712,0.013022198441970875,-0.010844691640904144,0.052277813686920874,0.43333333333333335,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.018923738265771158,0.008475328305169649,-0.028085023859519047,0.03386707608905363,0.0,False
Ames,-0.027205627131520416,0.009228994566876961,-0.04789126386312425,0.037236533938738194,0.0,False
H-HT,-0.03357016569960839,0.009900474918528475,-0.050799385084027246,0.0394932981460382,0.0,False
Genotoxicity,-0.03377822162708891,0.007980676775293176,-0.040090757277588505,0.03169117201782358,0.0,False
Ototoxicity,-0.05973816700647029,0.00944421405777298,-0.06599813012621875,0.03793069008102609,0.0,False
Carcinogenicity,-0.09852835442233943,0.007552924502838923,-0.11132797878809628,0.030278022656202882,0.0,False
EC,-0.10192188869512944,0.008647011172187398,-0.09864888810687569,0.03466523173920381,0.0,False
Hematotoxicity,-0.11560956188133946,0.007819291333895063,-0.1394840075468506,0.03128780393905017,0.0,False
DILI,-0.193778462137809,0.008280679179934346,-0.21750709434463145,0.03253363777824952,0.0,False
EI,-0.19470794078034498,0.008076526965418288,-0.1939992699238145,0.032423413978979146,0.0,False
