ligand_id,role,cluster_id,row_index
2,train,2,1
4,train,4,3
5,train,5,4
6,train,6,5
8,train,8,6
10,train,10,8
11,train,11,9
13,train,13,11
15,train,15,13
18,train,18,15
19,train,19,16
20,train,20,17
23,train,23,20
25,train,25,22
26,train,26,23
28,train,28,25
30,train,30,27
32,train,32,29
33,train,33,30
34,train,30,31
35,train,35,32
36,train,30,33
41,train,41,37
42,train,42,38
43,train,43,39
44,train,44,40
45,train,45,41
46,train,46,42
47,train,47,43
48,train,48,44
49,train,49,45
50,train,50,46
52,train,52,48
53,train,45,49
54,train,47,50
55,train,55,51
56,train,56,52
57,train,57,53
58,train,58,54
62,train,62,57
63,train,63,58
64,train,64,59
65,train,65,60
66,train,66,61
68,train,68,63
70,train,70,65
71,train,71,66
73,train,73,68
74,train,74,69
75,train,75,70
77,train,77,72
79,train,79,74
81,train,81,76
82,train,82,77
83,train,83,78
84,train,84,79
86,train,86,81
88,train,88,82
91,train,91,84
92,train,92,85
93,train,93,86
94,train,94,87
95,train,95,88
96,train,96,89
97,train,97,90
100,train,100,92
103,train,103,94
105,train,105,96
109,train,109,99
112,train,111,101
113,train,113,102
114,train,113,103
116,train,116,105
118,train,118,106
119,train,119,107
121,train,109,108
122,train,122,109
123,train,123,110
124,train,124,111
125,train,125,112
126,train,126,113
127,train,127,114
129,train,129,116
130,train,130,117
131,train,90,118
135,train,135,120
138,train,138,122
139,train,139,123
142,train,142,126
144,train,144,127
145,train,145,128
150,train,150,131
151,train,151,132
152,train,152,133
157,train,157,136
158,train,158,137
159,train,159,138
160,train,160,139
161,train,161,140
162,train,126,141
163,train,163,142
166,train,166,145
170,train,170,146
171,train,171,147
173,train,173,148
175,train,175,149
178,train,178,150
179,train,179,151
182,train,182,153
189,train,189,155
190,train,190,156
196,train,196,159
197,train,197,160
201,train,201,162
202,train,202,163
203,train,203,164
204,train,204,165
207,train,207,167
208,train,208,168
210,train,210,169
211,train,211,170
217,train,160,174
218,train,218,175
221,train,221,177
222,train,222,178
226,train,182,180
227,train,227,181
228,train,228,182
229,train,229,183
233,train,233,186
234,train,234,187
237,train,151,189
244,train,244,193
246,train,246,195
249,train,249,197
250,train,248,198
254,train,253,201
256,train,256,202
258,train,15,204
259,train,259,205
260,train,260,206
262,train,262,208
263,train,263,209
264,train,264,210
269,train,269,214
270,train,109,215
271,train,271,216
273,train,142,218
279,train,279,222
281,train,281,224
284,train,284,226
289,train,289,229
294,train,139,232
300,train,300,236
301,train,249,237
302,train,302,238
303,train,303,239
306,train,306,240
307,train,307,241
310,train,310,242
312,train,230,243
317,train,317,245
318,train,318,246
320,train,320,247
323,train,323,250
324,train,324,251
326,train,249,253
328,train,300,255
332,train,332,256
333,train,333,257
334,train,334,258
335,train,335,259
336,train,336,260
337,train,337,261
339,train,339,263
340,train,340,264
346,train,346,268
348,train,348,269
350,train,350,270
357,train,357,274
360,train,360,277
364,train,364,281
365,train,163,282
368,train,368,284
372,train,372,286
375,train,375,288
376,train,376,289
378,train,378,291
381,train,381,294
382,train,141,295
383,train,383,296
388,train,388,298
391,train,391,300
392,train,392,301
395,train,395,304
396,train,230,305
397,train,397,306
398,train,398,307
399,train,399,308
400,train,400,309
401,train,401,310
402,train,402,311
403,train,403,312
404,train,404,313
405,train,405,314
406,train,406,315
407,train,407,316
408,train,408,317
410,train,410,318
411,train,411,319
412,train,412,320
414,train,414,321
415,train,415,322
416,train,166,323
418,train,179,325
420,train,420,326
421,train,421,327
422,train,422,328
427,train,427,333
428,train,428,334
431,train,306,336
432,train,432,337
436,train,436,340
437,train,196,341
440,train,440,343
446,train,446,345
447,train,447,346
448,train,448,347
450,train,450,349
451,train,451,350
452,train,452,351
454,train,454,352
456,train,456,353
457,train,457,354
461,train,461,356
466,train,466,359
467,train,467,360
468,train,468,361
470,train,470,363
471,train,471,364
474,train,474,367
475,train,475,368
476,train,476,369
479,train,479,372
482,train,482,375
483,train,170,376
486,train,486,377
487,train,487,378
489,train,489,380
490,train,490,381
491,train,491,382
492,train,492,383
497,train,493,388
499,train,499,390
501,train,501,392
502,train,502,393
503,train,503,394
506,train,506,395
508,train,508,397
509,train,509,398
511,train,230,400
513,train,513,402
514,train,514,403
521,train,521,408
523,train,523,409
525,train,253,411
527,train,395,413
528,train,528,414
530,train,530,416
531,train,531,417
532,train,14,418
534,train,534,420
535,train,535,421
537,train,537,422
540,train,420,423
542,train,72,425
544,train,544,426
548,train,548,429
554,train,554,432
556,train,556,433
562,train,562,435
564,train,564,436
565,train,565,437
568,train,90,440
569,train,569,441
583,train,160,446
585,train,579,448
587,train,587,450
589,train,589,451
591,train,562,452
593,train,593,454
595,train,595,456
596,train,357,457
599,train,599,460
601,train,601,462
603,train,603,464
604,train,200,465
607,train,607,467
608,train,608,468
609,train,447,469
611,train,611,470
613,train,613,472
614,train,614,473
615,train,615,474
617,train,617,476
618,train,618,477
621,train,621,480
622,train,622,481
623,train,623,482
625,train,625,484
630,train,630,488
631,train,631,489
634,train,634,491
637,train,637,492
642,train,642,496
643,train,643,497
645,train,645,498
646,train,337,499
647,train,647,500
648,train,648,501
649,train,649,502
650,train,650,503
651,train,651,504
653,train,653,505
655,train,655,506
658,train,658,507
659,train,659,508
668,train,668,513
669,train,669,514
672,train,263,517
674,train,674,518
676,train,23,519
677,train,677,520
679,train,196,522
680,train,680,523
681,train,681,524
683,train,683,526
684,train,684,527
686,train,605,528
687,train,357,529
688,train,688,530
689,train,689,531
690,train,690,532
694,train,307,534
695,train,695,535
696,train,696,536
697,train,166,537
699,train,699,539
700,train,700,540
702,train,702,542
703,train,703,543
704,train,704,544
705,train,170,545
706,train,608,546
707,train,707,547
708,train,708,548
709,train,709,549
710,train,710,550
711,train,584,551
712,train,249,552
716,train,716,554
718,train,718,555
719,train,719,556
721,train,98,557
722,train,722,558
724,train,605,559
725,train,725,560
727,train,727,562
731,train,731,566
734,train,734,567
735,train,735,568
738,train,738,569
744,train,182,572
745,train,745,573
746,train,746,574
751,train,751,577
753,train,200,579
754,train,754,580
755,train,357,581
757,train,757,583
759,train,759,584
761,train,761,585
762,train,762,586
763,train,763,587
764,train,764,588
766,train,766,589
769,train,766,592
770,train,770,593
771,train,771,594
772,train,766,595
773,train,773,596
774,train,774,597
778,train,778,599
780,train,780,600
781,train,781,601
782,train,782,602
783,train,783,603
787,train,787,605
789,train,789,606
793,train,793,610
795,train,795,611
796,train,796,612
797,train,797,613
801,train,801,617
802,train,802,618
803,train,803,619
806,train,806,622
810,train,810,625
811,train,811,626
813,train,813,628
814,train,814,629
816,train,816,631
820,train,790,634
822,train,822,636
823,train,823,637
825,train,825,638
827,train,827,639
828,train,456,640
829,train,18,641
830,train,830,642
831,train,831,643
834,train,834,646
836,train,836,648
838,train,838,650
840,train,230,651
842,train,842,653
843,train,843,654
846,train,846,657
849,train,849,660
850,train,850,661
852,train,819,663
855,train,855,665
858,train,858,667
860,train,860,669
862,train,862,671
863,train,863,672
864,train,864,673
867,train,867,675
868,train,868,676
871,train,871,677
872,train,142,678
873,train,82,679
875,train,875,681
881,train,881,685
882,train,882,686
886,train,886,689
887,train,887,690
888,train,888,691
891,train,891,694
893,train,893,696
896,train,896,698
898,train,898,700
899,train,899,701
901,train,901,702
904,train,904,705
905,train,905,706
906,train,906,707
907,train,907,708
912,train,912,712
915,train,915,713
916,train,916,714
917,train,917,715
918,train,918,716
921,train,921,718
922,train,922,719
923,train,923,720
925,train,925,722
926,train,926,723
929,train,929,726
931,train,811,728
932,train,932,729
937,train,937,732
938,train,938,733
940,train,940,735
946,train,946,739
948,train,948,741
949,train,949,742
952,train,952,745
956,train,956,748
957,train,957,749
959,train,957,751
960,train,234,752
965,train,965,756
966,train,966,757
968,train,968,759
969,train,969,760
970,train,970,761
972,train,3,763
974,train,974,765
978,train,978,768
979,train,979,769
983,train,983,773
989,train,989,779
990,train,990,780
991,train,896,781
997,train,997,784
999,train,999,786
1001,train,896,787
1002,train,896,788
1005,train,1005,789
1006,train,1006,790
1007,train,1007,791
1009,train,1009,793
1010,train,1010,794
1016,train,1016,800
1017,train,1017,801
1019,train,1019,802
1020,train,1020,803
1021,train,1021,804
1023,train,1023,805
1024,train,1024,806
1025,train,1025,807
1026,train,1026,808
1028,train,1028,810
1029,train,1029,811
1030,train,1030,812
1031,train,1031,813
1032,train,1032,814
1033,train,1033,815
1034,train,1034,816
1035,train,1035,817
1036,train,1036,818
1037,train,1037,819
1039,train,1039,821
1040,train,1040,822
1041,train,1041,823
1043,train,1043,825
1044,train,1044,826
1045,train,1045,827
1048,train,1048,829
1050,train,1050,831
1051,train,1051,832
1057,train,47,836
1058,train,1058,837
1060,train,1060,839
1061,train,1061,840
1062,train,1062,841
1065,train,1065,844
1066,train,1066,845
1067,train,1067,846
1068,train,1068,847
1069,train,1069,848
1070,train,1070,849
1073,train,1073,852
1074,train,1074,853
1076,train,1076,855
1077,train,1077,856
1078,train,47,857
1080,train,1080,859
1081,train,1066,860
1083,train,1083,862
1088,train,1088,867
1089,train,47,868
1092,train,1092,871
1093,train,47,872
1095,train,881,874
1098,train,789,876
1099,train,1099,877
1103,train,1103,881
1104,train,1104,882
1106,train,1106,883
1107,train,1107,884
1112,train,1112,889
1113,train,1113,890
1114,train,1114,891
1116,train,1116,892
1117,train,1117,893
1120,train,1120,896
1122,train,1122,898
1125,train,1010,901
1126,train,1126,902
1127,train,1127,903
1129,train,1129,905
1131,train,1131,907
1132,train,1132,908
1133,train,1133,909
1134,train,1134,910
1142,train,1142,916
1144,train,1144,918
1147,train,1147,919
1148,train,1148,920
1150,train,1150,922
1152,train,801,924
1153,train,893,925
1154,train,22,926
1155,train,1155,927
1157,train,1157,928
