target,training_mean,training_sd
1m2z,-6.154191130543436,6.323847490374868
1pbq,-6.879812617114289,1.3191312095080823
1xoq,-6.96026233603999,1.7527559970361255
2rh1,-7.510868207370388,1.908327994845171
2vt4,-7.343735165521537,1.5461623955694357
2ydo,-6.765421611492809,4.512415639482114
2z5x,-5.494440974390989,7.671208716749547
3b66,-5.5935040599625125,6.336782189807651
3kk6,-6.728594628357274,2.8885460485812544
3ln1,-6.817926296064958,2.8862056982276303
3rze,-6.498351030605857,3.1989461536405477
4djh,-6.780699562773243,1.2831307396351472
4ey7,-7.744472204871972,2.93645266698903
4iar,-7.11061836352281,2.042582823172449
4mqs,-1.8418113678950618,11.44732364813759
4n6h,-6.462773266708293,1.3731823569974086
5cxv,-7.20324797001875,2.7034989139283154
5i71,-7.370068707058088,1.6406671477924053
5tvn,-7.049044347282964,1.4221090507805285
5u09,-7.065459088069955,2.6797969344663546
5va1,-4.838763272954415,0.8558752204933835
6cm4,-7.145259212991877,1.5969080284598496
6kpf,-7.1801873828856895,3.641672500821355
6kux,-6.452329793878818,1.1988141678497795
6lqa,-6.706458463460347,1.4073882011413608
6pdj,-6.520811992504707,1.3569748440194167
6x3x,-7.519237976264842,1.7637093014140832
6y1z,-7.147845096814489,1.91847115791463
7f8y,-6.8781886321049175,1.7353347948204105
7kwe,-7.242261086820749,1.4232201734103758
7ljd,-6.61330418488447,1.4227917724570194
7wc9,-7.812866958151155,2.2674679614199875
7xnk,-6.1564896939413085,1.1531937218870976
7ym8,-6.815590256089953,3.7601927990232666
8e9y,-5.727457838850705,5.829048332968716
8ef6,-6.605421611492815,1.3201605292040821
8fhs,-6.251105559025614,1.3554499480336177
8pjk,-6.988881948782015,1.5613616350266617
8st0,-4.006408494690813,7.930768529884344
8wty,-7.451930043722692,1.814941205071623
8xvk,-5.898101186758284,0.938700254820251
8yn3,-6.044934415989997,3.886433218176694
9eo4,-7.178263585259222,3.1375738241578452
V1A,-5.75456589631482,1.1111296375273139
