seed,diagnostic_includes_unused_hERG10,feature,vif
42,False,hERG,1.3188429417387746
42,False,Respiratory,1.1660670327201945
42,False,Neurotoxicity-DI,1.3314042594533808
42,True,hERG,2.515590437293995
42,True,Respiratory,1.2304298641916076
42,True,Neurotoxicity-DI,1.3325787437112708
42,True,hERG-10um,2.477685471341964
43,False,hERG,1.3448846540097843
43,False,Respiratory,1.1823929744722224
43,False,Neurotoxicity-DI,1.373356169744149
43,True,hERG,2.6718984810279873
43,True,Respiratory,1.2453133362672535
43,True,Neurotoxicity-DI,1.3741734193281967
43,True,hERG-10um,2.6140246206089586
44,False,hERG,1.326260838331353
44,False,Respiratory,1.165758852779023
44,False,Neurotoxicity-DI,1.3459749599669786
44,True,hERG,2.5337940006827777
44,True,Respiratory,1.2362625040510518
44,True,Neurotoxicity-DI,1.3514927987697796
44,True,hERG-10um,2.555206883585572
45,False,hERG,1.3130300827790946
45,False,Respiratory,1.1487543617678024
45,False,Neurotoxicity-DI,1.3367435861119807
45,True,hERG,2.584452891862566
45,True,Respiratory,1.2128360267978298
45,True,Neurotoxicity-DI,1.339053382763077
45,True,hERG-10um,2.5635985332222098
46,False,hERG,1.3187417624940465
46,False,Respiratory,1.1680396029983513
46,False,Neurotoxicity-DI,1.349445833213112
46,True,hERG,2.569816128615579
46,True,Respiratory,1.2476121722219884
46,True,Neurotoxicity-DI,1.3530903196609596
46,True,hERG-10um,2.602810684585139
