seed,model,n,mse_minus_baseline,ci_low,ci_high
42,PCA,2532,0.0027563005387305425,-0.008735087324447876,0.014473919331983293
42,ADME,2532,-0.029907336382003272,-0.044116405886007216,-0.015482555484701812
42,Plain,2532,-0.014442130938786206,-0.025642748726656686,-0.00392736530613741
42,BBB_pass,1714,-0.00357953324113306,-0.014451927136935801,0.0081357547265033
43,PCA,2459,-0.011136236324409606,-0.021206458788704828,-0.0013535984097393459
43,ADME,2459,-0.03383859844239934,-0.051215965733090424,-0.018745916942708298
43,Plain,2459,-0.015970852777451458,-0.024818405516755335,-0.00737114316299785
43,BBB_pass,1671,0.004083727898456063,-0.006076062700238493,0.01416556828783275
44,PCA,2387,0.01063756617181114,5.915945782792945e-05,0.022023623878745277
44,ADME,2387,-0.03447624204303113,-0.04811465570473504,-0.02155707421009881
44,Plain,2387,-0.009669811409321742,-0.02040446330598862,0.0010182796626472383
44,BBB_pass,1699,0.0013173916692562316,-0.00977628952455516,0.012663677178671591
45,PCA,2554,-0.0009837263794512463,-0.014680546562375676,0.011232759683463866
45,ADME,2554,-0.038186291876236046,-0.05660540123567983,-0.022492039045638373
45,Plain,2554,-0.004142098794771836,-0.016736541021747466,0.009741937615190132
45,BBB_pass,1777,-0.0003103295218724554,-0.012088426567172838,0.013826646099969397
46,PCA,2550,-0.004225076601242226,-0.013943747732073982,0.004799082957795546
46,ADME,2550,-0.026559517955779044,-0.04061009951798128,-0.013734748952032838
46,Plain,2550,-0.021757748065887525,-0.03186965295452841,-0.012368325579651116
46,BBB_pass,1690,-0.005092424313016103,-0.016311188772941656,0.00660838062432309
