,0
"MW, g/mol",280.43699999999995
logP,2.6081000000000003
FP_0,0.0
FP_1,0.0
FP_2,0.0
FP_3,0.0
FP_4,0.0
FP_5,0.0
FP_6,0.0
FP_7,0.0
FP_8,0.0
FP_9,0.0
FP_10,0.0
FP_11,0.0
FP_12,0.0
FP_13,0.0
FP_14,0.0
FP_15,0.0
FP_16,0.0
FP_17,0.0
FP_18,0.0
FP_19,0.0
FP_20,0.0
FP_21,0.0
FP_22,0.0
FP_23,0.0
FP_24,0.0
FP_25,0.0
FP_26,0.0
FP_27,0.0
FP_28,0.0
FP_29,0.0
FP_30,0.0
FP_31,0.0
FP_32,0.0
FP_33,0.0
FP_34,0.0
FP_35,0.0
FP_36,0.0
FP_37,0.0
FP_38,0.0
FP_39,0.0
FP_40,0.0
FP_41,0.0
FP_42,0.0
FP_43,0.0
FP_44,0.0
FP_45,0.0
FP_46,0.0
FP_47,0.0
FP_48,0.0
FP_49,0.0
FP_50,0.0
FP_51,0.0
FP_52,0.0
FP_53,0.0
FP_54,0.0
FP_55,0.0
FP_56,0.0
FP_57,0.0
FP_58,0.0
FP_59,0.0
FP_60,0.0
FP_61,0.0
FP_62,0.0
FP_63,0.0
FP_64,0.0
FP_65,0.0
FP_66,0.0
FP_67,0.0
FP_68,0.0
FP_69,0.0
FP_70,0.0
FP_71,0.0
FP_72,0.0
FP_73,0.0
FP_74,0.0
FP_75,0.0
FP_76,0.0
FP_77,0.0
FP_78,0.0
FP_79,0.0
FP_80,1.0
FP_81,0.0
FP_82,0.0
FP_83,0.0
FP_84,0.0
FP_85,0.0
FP_86,0.0
FP_87,0.0
FP_88,0.0
FP_89,0.0
FP_90,0.0
FP_91,0.0
FP_92,0.0
FP_93,0.0
FP_94,0.0
FP_95,0.0
FP_96,0.0
FP_97,0.0
FP_98,0.0
FP_99,0.0
FP_100,0.0
FP_101,0.0
FP_102,0.0
FP_103,0.0
FP_104,0.0
FP_105,0.0
FP_106,0.0
FP_107,0.0
FP_108,0.0
FP_109,0.0
FP_110,0.0
FP_111,0.0
FP_112,0.0
FP_113,0.0
FP_114,0.0
FP_115,0.0
FP_116,0.0
FP_117,0.0
FP_118,0.0
FP_119,0.0
FP_120,0.0
FP_121,0.0
FP_122,0.0
FP_123,0.0
FP_124,0.0
FP_125,0.0
FP_126,0.0
FP_127,0.0
FP_128,0.0
FP_129,0.0
FP_130,0.0
FP_131,0.0
FP_132,0.0
FP_133,0.0
FP_134,0.0
FP_135,0.0
FP_136,0.0
FP_137,0.0
FP_138,0.0
FP_139,0.0
FP_140,0.0
FP_141,0.0
FP_142,0.0
FP_143,0.0
FP_144,0.0
FP_145,0.0
FP_146,0.0
FP_147,0.0
FP_148,0.0
FP_149,0.0
FP_150,0.0
FP_151,0.0
FP_152,0.0
FP_153,0.0
FP_154,0.0
FP_155,0.0
FP_156,0.0
FP_157,0.0
FP_158,0.0
FP_159,0.0
FP_160,0.0
FP_161,0.0
FP_162,0.0
FP_163,0.0
FP_164,0.0
FP_165,0.0
FP_166,0.0
FP_167,0.0
FP_168,0.0
FP_169,0.0
FP_170,0.0
FP_171,0.0
FP_172,0.0
