feature,mean_absolute_shap,group
fChar,0.08964744399467801,ADME
logP,0.07570659348266609,physicochemical
pka_acidic,0.049926086027216425,ADME
Synth,0.04477157448277355,ADME
pka_basic,0.044405616613781874,ADME
Vol,0.039057705760631896,ADME
GoldenTriangle,0.03614194672720359,ADME
logVDss,0.03191714402737931,ADME
Dense,0.028831334402121253,ADME
logP_admet,0.02646604514274821,ADME
QED,0.025614692165314163,ADME
CYP2D6-inh,0.02388742929459875,ADME
"MW, g/mol",0.019961030505522212,physicochemical
nRing,0.01755711384023974,ADME
pgp_sub,0.016676460887475257,ADME
logD,0.016582434891879296,ADME
CYP1A2-sub,0.012174394380851815,ADME
FP_926,0.011587274134829432,fingerprints
f30,0.011378649472593845,ADME
mp,0.011250731101220511,ADME
CYP2B6-inh,0.011030853718993469,ADME
CYP2C19-inh,0.010953335614231455,ADME
FP_1028,0.01088986251746621,fingerprints
FP_674,0.01076968158704613,fingerprints
CYP2C9-inh,0.009825124035483473,ADME
nHA,0.008995778202603066,ADME
logS,0.00889621877140882,ADME
CYP2B6-sub,0.008519980290500074,ADME
FP_656,0.008457124210588113,fingerprints
BSEP,0.008031899335068681,ADME
3b66,0.008029215219719195,docking
Fsp3,0.007817847111710772,ADME
PPB,0.007481441651314184,ADME
Flex,0.0074110608477808565,ADME
8e9y,0.007231508290295765,docking
LM-human,0.00704882549966857,ADME
BCRP,0.006988255682232697,ADME
CYP2C8-inh,0.00698081690660315,ADME
nHet,0.006912612658016993,ADME
t0.5,0.006867856591189229,ADME
MaxRing,0.00682298658076395,ADME
7kwe,0.006480628749010525,docking
FP_1019,0.0064459791586637515,fingerprints
CYP2C9-sub,0.006219814922696074,ADME
8wty,0.006071219641154014,docking
FP_675,0.005894066402570082,fingerprints
hia,0.005863901873760245,ADME
f50,0.005836417899181686,ADME
CYP3A4-sub,0.005526080527674786,ADME
CYP1A2-inh,0.005504160423212744,ADME
FP_1970,0.005426846737386241,fingerprints
MCE-18,0.005407029661715496,ADME
FP_1873,0.005385563816913196,fingerprints
Natural Product-likeness,0.005266000561409322,ADME
CYP2D6-sub,0.005152035953909042,ADME
CYP2C19-sub,0.005101340068590126,ADME
MDCK,0.004847887425921628,ADME
OATP1B3,0.004793406387496778,ADME
Fu,0.004649385627809661,ADME
PAMPA,0.004586572437287153,ADME
8pjk,0.004497320305924326,docking
cl-plasma,0.004467576417615963,ADME
pgp_inh,0.0044523785858631305,ADME
MRP1,0.004419817224199305,ADME
TPSA,0.004412536624697159,ADME
caco2,0.004380678745423421,ADME
4n6h,0.004370707974911976,docking
FP_1456,0.004255789846754173,fingerprints
FP_695,0.004231327208098146,fingerprints
OATP1B1,0.004206742186745045,ADME
bp,0.004156721556922599,ADME
FP_1104,0.00399031844073521,fingerprints
nRig,0.003919130819921196,ADME
