feature,mean_absolute_shap,group
logP,0.13111241912417995,physicochemical
"MW, g/mol",0.0717961617490599,physicochemical
4mqs,0.049721625197249555,docking
FP_414,0.028258269771006036,fingerprints
FP_389,0.02752905550205843,fingerprints
FP_926,0.024464907058257167,fingerprints
1xoq,0.022738682553201623,docking
FP_628,0.022291154888156594,fingerprints
2z5x,0.02204242112567151,docking
FP_715,0.02085848799292389,fingerprints
8e9y,0.02044988942562389,docking
FP_1325,0.0195262544950991,fingerprints
6x3x,0.01834902124308349,docking
3b66,0.017980401995032144,docking
8xvk,0.017003261602864465,docking
FP_674,0.01598967337279376,fingerprints
FP_80,0.015262641546184206,fingerprints
8pjk,0.01433217393083426,docking
FP_807,0.014310637848387306,fingerprints
8fhs,0.013992402166677902,docking
FP_1599,0.013953320124574276,fingerprints
FP_695,0.013842973994346886,fingerprints
4iar,0.01325526428009205,docking
FP_1028,0.013048989514537214,fingerprints
FP_456,0.012816106239428691,fingerprints
5cxv,0.01274160071758749,docking
8wty,0.012631729279788348,docking
3rze,0.012580270884117372,docking
6cm4,0.012442724604867278,docking
6kux,0.01219088758310318,docking
8yn3,0.012116298155489496,docking
FP_650,0.012080043393972837,fingerprints
8st0,0.011902596488147569,docking
2rh1,0.011875906341284787,docking
3kk6,0.011838971656947781,docking
5u09,0.011539356948991834,docking
1pbq,0.011520616386726615,docking
5tvn,0.011273477409610154,docking
FP_661,0.011268624696489564,fingerprints
6lqa,0.01087565530954034,docking
FP_1226,0.010691942316947593,fingerprints
6kpf,0.010607020171400501,docking
FP_1917,0.010577487065379924,fingerprints
FP_1088,0.010341458314692999,fingerprints
5va1,0.010242850669418954,docking
3ln1,0.01010844518900368,docking
8ef6,0.01003109679901536,docking
FP_1873,0.009910042869321485,fingerprints
FP_1745,0.009516941975099414,fingerprints
FP_426,0.009189279340138004,fingerprints
FP_675,0.00916433368990547,fingerprints
FP_1104,0.008992073692047213,fingerprints
FP_1911,0.008680001901155468,fingerprints
FP_1737,0.008536826048675466,fingerprints
FP_947,0.008457855558594926,fingerprints
9eo4,0.008333673841180706,docking
FP_881,0.008308902331566004,fingerprints
7xnk,0.00829848831955179,docking
2ydo,0.008179174204077969,docking
6y1z,0.008125559203317366,docking
FP_1199,0.008021735062474111,fingerprints
5i71,0.007655666466968187,docking
4ey7,0.00755279197793939,docking
FP_1564,0.007500587546436761,fingerprints
7wc9,0.007433985699557588,docking
FP_1970,0.007418790544470609,fingerprints
1m2z,0.007373189275280027,docking
FP_694,0.007005821566185938,fingerprints
7f8y,0.0069397014696912715,docking
FP_313,0.006865223730624258,fingerprints
4n6h,0.006759926979589453,docking
7ym8,0.006510372470699984,docking
7ljd,0.006362524609705488,docking
2vt4,0.006325070694601844,docking
7kwe,0.0061145491915796804,docking
FP_1236,0.006102639933146279,fingerprints
FP_1145,0.006019157886377717,fingerprints
FP_838,0.005686031210066399,fingerprints
FP_192,0.005563610158217461,fingerprints
FP_1951,0.005547366709708963,fingerprints
4djh,0.005540199082059657,docking
FP_1422,0.005539714023360915,fingerprints
FP_656,0.005508217923150956,fingerprints
FP_322,0.005507737723260697,fingerprints
FP_463,0.005495911524519097,fingerprints
FP_1143,0.005455299083994108,fingerprints
FP_378,0.005370549142949706,fingerprints
FP_1456,0.005258805011093428,fingerprints
FP_1380,0.005148186228512084,fingerprints
FP_1604,0.005139869757792839,fingerprints
6pdj,0.005119714137737841,docking
FP_251,0.005045083600615787,fingerprints
FP_1791,0.004753281506684112,fingerprints
V1A,0.004676462865811541,docking
FP_1162,0.004661235520122951,fingerprints
FP_1057,0.00448815220826628,fingerprints
FP_2005,0.004487013684051718,fingerprints
FP_1531,0.004415038725193404,fingerprints
FP_482,0.004388368274973158,fingerprints
FP_1534,0.004173038192584302,fingerprints
FP_623,0.00412947813170858,fingerprints
FP_841,0.003977814438288743,fingerprints
FP_1963,0.003909209241052602,fingerprints
FP_301,0.0037846208728367255,fingerprints
FP_402,0.0037214097234235417,fingerprints
FP_283,0.0035844167804327254,fingerprints
FP_1928,0.003532316346542777,fingerprints
FP_667,0.003508281195834836,fingerprints
FP_1060,0.0034525433554100774,fingerprints
FP_1019,0.0034477606923304636,fingerprints
FP_1048,0.0032476893667409685,fingerprints
FP_1750,0.003207503267741826,fingerprints
FP_1630,0.003203745626465667,fingerprints
FP_222,0.003188093320064056,fingerprints
FP_1214,0.003182382983362339,fingerprints
FP_673,0.0030485405161657683,fingerprints
FP_1480,0.00302535413348994,fingerprints
FP_13,0.0030247899022660457,fingerprints
FP_147,0.003021725516335968,fingerprints
FP_1934,0.0029949342693768983,fingerprints
FP_1897,0.0028758842188452106,fingerprints
FP_1618,0.002822162012967883,fingerprints
FP_328,0.002767896334028099,fingerprints
FP_1126,0.0027600579545715665,fingerprints
FP_140,0.0027344149942988053,fingerprints
FP_486,0.002650347104050451,fingerprints
FP_1066,0.0026294400446557295,fingerprints
FP_1693,0.0026081237025675245,fingerprints
FP_1385,0.0025253253362578208,fingerprints
FP_1729,0.002517841821520435,fingerprints
FP_915,0.0024855728711888586,fingerprints
FP_875,0.002467606695547714,fingerprints
FP_1573,0.0024310087520264794,fingerprints
FP_1257,0.002417544678696917,fingerprints
FP_1171,0.002346982918591219,fingerprints
FP_352,0.0023367185963013943,fingerprints
FP_1856,0.0023307753851817274,fingerprints
FP_1738,0.0022953439294162714,fingerprints
FP_425,0.002275991559486561,fingerprints
FP_1767,0.00222616237548454,fingerprints
FP_1884,0.0021403509274186016,fingerprints
FP_960,0.0021227927932395215,fingerprints
FP_294,0.002118407566989479,fingerprints
FP_1045,0.0020888552543783133,fingerprints
FP_1,0.0020718131912887613,fingerprints
FP_1441,0.002036376970697911,fingerprints
FP_197,0.0020322218238579097,fingerprints
FP_417,0.0020197615731900936,fingerprints
FP_25,0.002001594525370771,fingerprints
FP_1431,0.0019694513241433845,fingerprints
FP_1411,0.0018942104777390039,fingerprints
FP_878,0.0018890509513913426,fingerprints
FP_65,0.0018387854233308445,fingerprints
FP_935,0.001830213191259813,fingerprints
FP_1292,0.0018077561630788412,fingerprints
FP_1792,0.0017967758223841964,fingerprints
FP_1999,0.0017963737153957862,fingerprints
FP_162,0.0017890052397371901,fingerprints
FP_341,0.001767306696275475,fingerprints
FP_74,0.0017554150041441685,fingerprints
FP_523,0.001734936915467575,fingerprints
FP_1412,0.0017340778740005545,fingerprints
FP_827,0.0017034200406164585,fingerprints
FP_407,0.0016978517047122853,fingerprints
FP_1683,0.001687232887479763,fingerprints
FP_487,0.0016831121459480926,fingerprints
FP_208,0.0016817238566514908,fingerprints
FP_1592,0.001665951565646761,fingerprints
FP_1530,0.0016293454817199783,fingerprints
FP_784,0.0016287333094190549,fingerprints
FP_794,0.0016264134316021956,fingerprints
FP_806,0.0016192473627105212,fingerprints
FP_1452,0.0015961816245383177,fingerprints
FP_1317,0.0015902673431671256,fingerprints
FP_1164,0.0015844345718849877,fingerprints
FP_850,0.0015496603878469822,fingerprints
FP_1243,0.0015489514863156982,fingerprints
FP_1357,0.0015467856783935815,fingerprints
FP_1011,0.0015359804179483451,fingerprints
FP_1859,0.0015190554848345096,fingerprints
FP_1290,0.001517305831911768,fingerprints
FP_739,0.0015126210762299401,fingerprints
FP_803,0.0015112525500060074,fingerprints
FP_5,0.0015069818908546927,fingerprints
FP_1098,0.0014941579083701348,fingerprints
FP_89,0.001470534680186865,fingerprints
FP_1017,0.0014652928181757617,fingerprints
FP_314,0.001461605979594395,fingerprints
FP_703,0.0014584797717991102,fingerprints
FP_728,0.0014473112539395863,fingerprints
FP_983,0.0014298916645138536,fingerprints
FP_1722,0.001429476123008374,fingerprints
FP_528,0.0014194766810676765,fingerprints
FP_312,0.001393175501831131,fingerprints
FP_1410,0.0013881872840749534,fingerprints
FP_1795,0.001381935816628412,fingerprints
FP_497,0.001381816052949096,fingerprints
FP_1096,0.001379283078555298,fingerprints
FP_1434,0.001375527672890946,fingerprints
FP_125,0.0013564433986219752,fingerprints
FP_1360,0.0013491656310346573,fingerprints
FP_1892,0.0013408406693146938,fingerprints
FP_573,0.0013320088401943717,fingerprints
FP_1138,0.0013256433599261827,fingerprints
FP_1701,0.001323667077791888,fingerprints
FP_1457,0.0013055910032654374,fingerprints
FP_832,0.0013055822047633166,fingerprints
FP_1465,0.001304547003879283,fingerprints
FP_1097,0.0013030107292727959,fingerprints
FP_555,0.0012966586876670574,fingerprints
FP_97,0.0012953410259061448,fingerprints
FP_1404,0.0012858283255057395,fingerprints
FP_716,0.0012696624639242917,fingerprints
FP_735,0.0012660317706956004,fingerprints
FP_336,0.001245393930519345,fingerprints
FP_1312,0.001244269523554204,fingerprints
FP_349,0.0012407094225585426,fingerprints
FP_957,0.0012374805171350455,fingerprints
FP_1459,0.0012346699252848503,fingerprints
FP_216,0.001233112956335987,fingerprints
FP_1502,0.0012309573447214022,fingerprints
FP_1568,0.0012299707823251998,fingerprints
FP_121,0.001228354473950872,fingerprints
FP_910,0.0012198665438426096,fingerprints
FP_110,0.0012140770589394757,fingerprints
FP_1716,0.0012064788568939345,fingerprints
FP_897,0.0012044103493706743,fingerprints
FP_950,0.0012020783278887007,fingerprints
FP_1543,0.001188504610133485,fingerprints
FP_974,0.0011873413930330117,fingerprints
FP_350,0.0011766984239908068,fingerprints
FP_931,0.0011730268806635963,fingerprints
FP_1114,0.0011594876184773362,fingerprints
FP_689,0.0011485276194870926,fingerprints
FP_1450,0.0011441685293343104,fingerprints
FP_1238,0.0011364275955632632,fingerprints
FP_109,0.0011292673876666418,fingerprints
FP_489,0.0011285253834060803,fingerprints
FP_1485,0.0011186717062255302,fingerprints
FP_107,0.0011017590000797642,fingerprints
FP_1128,0.001093774186929345,fingerprints
FP_1663,0.0010854116163665575,fingerprints
FP_690,0.001083889131805424,fingerprints
FP_976,0.001070824200910891,fingerprints
FP_725,0.0010672632818475856,fingerprints
FP_69,0.001055955761403505,fingerprints
FP_982,0.0010552071678323414,fingerprints
FP_1309,0.0010452802333896101,fingerprints
FP_1154,0.0010441741926939762,fingerprints
FP_165,0.0010386925553578738,fingerprints
FP_598,0.0010332732380849074,fingerprints
FP_1313,0.0010271113037129433,fingerprints
FP_1326,0.0010142251465376918,fingerprints
FP_1984,0.001008562250033733,fingerprints
FP_606,0.001008215799492187,fingerprints
FP_1405,0.0010034713551505662,fingerprints
FP_1989,0.0010010898728696949,fingerprints
FP_1637,0.0009879477031359892,fingerprints
FP_502,0.0009815374807810992,fingerprints
FP_1798,0.0009796977380550171,fingerprints
FP_1849,0.0009751549890001261,fingerprints
FP_785,0.0009663633526369112,fingerprints
FP_709,0.0009488699605261462,fingerprints
FP_1416,0.0009381575081234614,fingerprints
FP_323,0.0009380764713873397,fingerprints
FP_1174,0.0009287824066202794,fingerprints
FP_142,0.0009183841878971315,fingerprints
FP_1195,0.0009181259022567764,fingerprints
FP_92,0.0009159198915984263,fingerprints
FP_1482,0.0009067711563614372,fingerprints
FP_59,0.0009062763294172427,fingerprints
FP_913,0.0009054269011370351,fingerprints
FP_1602,0.0009048370617583246,fingerprints
FP_297,0.0008989164704062857,fingerprints
FP_1004,0.0008961987455444107,fingerprints
FP_1697,0.0008886738112348202,fingerprints
FP_1001,0.0008816590815596852,fingerprints
FP_1804,0.0008802643939462828,fingerprints
FP_1102,0.0008789904724980668,fingerprints
