feature,mean_absolute_shap,group
"MW, g/mol",0.1409215573646898,physicochemical
logP,0.12773593702168293,physicochemical
FP_926,0.04676744019301547,fingerprints
FP_628,0.025440696643760603,fingerprints
FP_650,0.02356123240712091,fingerprints
FP_389,0.021993384796421003,fingerprints
FP_715,0.021882634628641137,fingerprints
FP_414,0.020681606251405252,fingerprints
FP_674,0.01686054365259215,fingerprints
FP_807,0.014834616142369429,fingerprints
FP_1325,0.014736415544836295,fingerprints
FP_947,0.013957053993950882,fingerprints
FP_695,0.013018097302592586,fingerprints
FP_456,0.01295326275804192,fingerprints
FP_1226,0.011895622049358756,fingerprints
FP_426,0.011862922264044654,fingerprints
FP_80,0.011436867555025768,fingerprints
FP_656,0.011390260419231621,fingerprints
FP_1028,0.011236394957042489,fingerprints
FP_881,0.011133357356642665,fingerprints
FP_1737,0.011100512691038403,fingerprints
FP_1745,0.010769557053163797,fingerprints
FP_1599,0.0106168768268115,fingerprints
FP_1873,0.010606417499004843,fingerprints
FP_13,0.008311875744333572,fingerprints
FP_1088,0.008298317090422473,fingerprints
FP_1917,0.008236981322651767,fingerprints
FP_1911,0.008097305846519461,fingerprints
FP_1199,0.007482622383978823,fingerprints
FP_1951,0.007058292112090345,fingerprints
FP_913,0.007029915834387138,fingerprints
FP_322,0.006849368174326791,fingerprints
FP_935,0.006796913807357741,fingerprints
FP_1162,0.006713709887727734,fingerprints
FP_675,0.0067046089724819,fingerprints
FP_2005,0.006560004729557449,fingerprints
FP_1380,0.006467701616042384,fingerprints
FP_1750,0.006432977964474227,fingerprints
FP_1104,0.0063817492528579454,fingerprints
FP_1057,0.006271969612718728,fingerprints
FP_1422,0.005888155106643872,fingerprints
FP_222,0.005744891383816576,fingerprints
FP_251,0.005719990088208193,fingerprints
FP_694,0.005672618271042502,fingerprints
FP_1145,0.005567322857560606,fingerprints
FP_486,0.005397874940454906,fingerprints
FP_1143,0.00530406764075088,fingerprints
FP_875,0.005253229190948502,fingerprints
FP_1456,0.0052517437939977075,fingerprints
FP_482,0.005015570316883915,fingerprints
FP_313,0.00484343093609195,fingerprints
FP_1970,0.0047691960736252125,fingerprints
FP_147,0.004691773338885939,fingerprints
FP_192,0.004658616785518514,fingerprints
FP_1531,0.004535897956602168,fingerprints
FP_140,0.004502313898458085,fingerprints
FP_301,0.00449994465070769,fingerprints
FP_1391,0.004431048839264245,fingerprints
FP_623,0.004359855252104382,fingerprints
FP_328,0.0042505994517547715,fingerprints
FP_1,0.004241598172910489,fingerprints
FP_673,0.004198515292966078,fingerprints
FP_1564,0.0040864175599284736,fingerprints
