ligand_id,inner_role
1,fit
2,fit
3,fit
4,fit
9,fit
11,fit
12,fit
14,fit
15,early_stopping
18,fit
19,fit
20,fit
21,fit
22,fit
23,fit
24,fit
25,fit
27,fit
28,early_stopping
29,fit
30,early_stopping
31,fit
32,fit
33,fit
34,early_stopping
35,early_stopping
36,early_stopping
37,fit
39,fit
40,fit
41,fit
43,early_stopping
44,fit
45,fit
46,early_stopping
47,fit
48,fit
49,fit
50,early_stopping
51,fit
52,fit
53,fit
54,fit
55,fit
56,fit
57,fit
58,fit
60,fit
63,fit
64,fit
65,fit
66,fit
68,early_stopping
69,fit
70,fit
71,fit
72,fit
73,fit
75,fit
76,early_stopping
77,fit
79,fit
80,fit
83,fit
85,fit
88,fit
92,fit
93,fit
96,fit
97,early_stopping
100,fit
101,fit
103,fit
104,fit
105,fit
106,fit
108,fit
111,early_stopping
112,early_stopping
113,early_stopping
114,early_stopping
118,fit
119,fit
123,fit
124,fit
125,fit
126,fit
128,fit
129,fit
130,fit
136,fit
138,fit
139,fit
142,fit
145,fit
149,fit
150,fit
151,fit
152,fit
153,fit
155,fit
157,fit
159,fit
160,fit
162,fit
163,early_stopping
166,fit
170,fit
171,early_stopping
173,fit
175,fit
179,fit
180,fit
182,fit
184,fit
189,fit
194,fit
197,fit
200,fit
201,fit
203,fit
206,early_stopping
208,fit
210,fit
211,fit
213,fit
215,fit
217,fit
218,fit
219,fit
221,fit
222,fit
225,fit
226,fit
227,early_stopping
228,fit
229,early_stopping
231,fit
234,fit
237,fit
241,fit
244,fit
245,early_stopping
246,fit
248,fit
250,fit
251,fit
258,early_stopping
259,fit
261,fit
262,early_stopping
264,fit
265,early_stopping
266,early_stopping
269,fit
271,fit
273,fit
274,fit
276,early_stopping
279,fit
280,fit
281,fit
284,fit
293,early_stopping
294,fit
300,fit
302,fit
303,fit
306,fit
307,early_stopping
313,fit
317,early_stopping
318,fit
320,fit
324,fit
325,fit
327,fit
328,fit
332,fit
335,early_stopping
336,fit
337,fit
339,fit
343,fit
344,fit
352,fit
353,fit
356,fit
357,fit
358,fit
359,early_stopping
360,fit
364,fit
365,early_stopping
372,fit
374,fit
375,fit
377,fit
378,fit
381,early_stopping
383,fit
386,fit
389,early_stopping
391,fit
392,early_stopping
393,fit
394,fit
397,fit
398,fit
400,fit
402,fit
403,fit
404,fit
405,fit
408,fit
411,fit
412,fit
416,fit
417,fit
418,fit
420,fit
426,fit
427,fit
429,fit
431,fit
433,fit
434,fit
436,early_stopping
438,fit
440,fit
442,early_stopping
446,fit
447,fit
448,fit
449,fit
450,fit
452,fit
456,fit
457,fit
461,fit
462,fit
467,fit
469,fit
471,fit
477,fit
478,early_stopping
479,fit
482,fit
483,fit
487,fit
490,fit
491,fit
492,fit
493,fit
494,fit
496,fit
497,fit
498,fit
501,fit
502,fit
503,fit
507,fit
509,fit
510,fit
512,fit
513,fit
515,fit
516,fit
519,fit
523,fit
524,fit
526,fit
528,early_stopping
529,fit
530,early_stopping
531,fit
532,fit
533,fit
535,fit
537,fit
540,fit
541,fit
542,fit
544,fit
547,fit
548,fit
551,fit
553,early_stopping
556,fit
562,fit
566,early_stopping
567,fit
573,fit
580,fit
583,fit
584,fit
586,fit
589,fit
591,fit
592,fit
595,fit
596,fit
597,fit
601,fit
602,fit
604,fit
607,fit
608,fit
609,fit
611,fit
612,fit
613,fit
616,fit
617,fit
619,fit
620,fit
621,fit
622,fit
623,fit
624,fit
625,early_stopping
626,fit
627,fit
629,fit
630,fit
631,fit
633,fit
634,fit
637,fit
638,fit
641,early_stopping
645,fit
646,fit
647,fit
648,fit
649,fit
650,fit
651,early_stopping
653,fit
655,fit
659,early_stopping
660,early_stopping
664,fit
666,fit
667,fit
668,fit
669,early_stopping
670,early_stopping
671,early_stopping
674,fit
676,fit
678,fit
680,fit
681,fit
683,fit
684,fit
687,fit
688,fit
694,early_stopping
695,fit
697,fit
698,fit
699,fit
700,early_stopping
702,fit
703,fit
704,fit
705,fit
706,fit
707,fit
709,fit
710,fit
711,fit
716,early_stopping
718,fit
722,fit
725,early_stopping
727,fit
728,fit
729,fit
730,fit
731,early_stopping
734,fit
735,fit
740,fit
743,fit
744,fit
745,fit
746,fit
747,fit
748,fit
752,fit
753,fit
755,fit
756,fit
757,fit
763,fit
764,fit
766,fit
767,fit
768,fit
769,fit
770,fit
771,fit
772,fit
773,fit
774,fit
778,fit
781,fit
786,fit
787,fit
790,fit
791,fit
793,fit
795,fit
796,fit
797,early_stopping
798,fit
799,fit
804,fit
806,fit
807,fit
809,fit
811,fit
812,fit
813,fit
815,fit
816,fit
818,fit
820,fit
821,fit
823,fit
827,fit
828,fit
829,fit
832,fit
833,fit
835,fit
836,fit
838,fit
842,fit
843,fit
844,fit
846,fit
848,fit
850,fit
851,fit
854,fit
855,fit
856,fit
858,fit
860,fit
861,fit
862,fit
864,fit
867,fit
868,fit
872,fit
874,fit
875,fit
877,fit
879,fit
880,fit
882,fit
883,fit
886,fit
887,fit
888,fit
889,fit
890,fit
893,fit
895,fit
897,fit
898,fit
899,fit
901,fit
902,fit
903,early_stopping
905,fit
906,fit
907,fit
908,fit
910,fit
915,fit
916,fit
920,fit
921,fit
922,fit
923,fit
924,early_stopping
925,early_stopping
926,early_stopping
929,fit
931,fit
932,fit
936,fit
938,fit
939,fit
940,fit
941,fit
946,fit
948,fit
949,fit
950,fit
951,fit
955,early_stopping
956,fit
957,fit
958,fit
959,fit
960,fit
961,fit
965,fit
966,fit
967,fit
971,fit
972,fit
977,early_stopping
978,fit
980,fit
981,fit
982,fit
983,early_stopping
985,fit
986,fit
987,fit
988,fit
989,fit
993,fit
994,fit
997,fit
998,fit
1005,fit
1006,fit
1007,fit
1008,fit
1009,fit
1010,fit
1011,fit
1012,fit
1013,fit
1017,fit
1019,early_stopping
1020,fit
1021,early_stopping
1023,fit
1024,fit
1027,early_stopping
1028,fit
1029,fit
1031,early_stopping
1032,fit
1033,fit
1037,fit
1038,fit
1039,fit
1040,fit
1041,early_stopping
1042,fit
1043,fit
1045,fit
1049,fit
1050,fit
1051,fit
1053,fit
1057,fit
1058,early_stopping
1061,fit
1062,fit
1063,fit
1064,fit
1067,fit
1068,fit
1070,fit
1072,fit
1076,fit
1077,fit
1078,fit
1079,early_stopping
1080,fit
1083,fit
1089,fit
1091,fit
1092,fit
1093,fit
1099,fit
1100,fit
1101,fit
1102,fit
1103,early_stopping
1104,fit
1106,fit
1107,fit
1108,fit
1109,fit
1110,fit
1111,fit
1112,fit
1113,fit
1114,fit
1117,fit
1118,fit
1119,fit
1120,fit
1123,fit
1124,fit
1125,fit
1127,fit
1128,fit
1130,fit
1131,fit
1133,fit
1134,fit
1135,fit
1141,fit
1142,fit
1143,fit
1144,fit
1148,fit
1150,early_stopping
1153,fit
1154,fit
1155,fit
1157,fit
1159,fit
1160,fit
1162,early_stopping
1165,fit
1166,fit
1167,fit
1169,fit
1170,early_stopping
1171,fit
1172,fit
1173,early_stopping
1176,fit
1177,fit
1180,fit
1181,fit
1182,early_stopping
1183,fit
1184,fit
1185,fit
1186,fit
1187,fit
1192,fit
1193,fit
1194,fit
1198,early_stopping
1204,fit
1206,fit
1211,early_stopping
1213,fit
1215,fit
1217,fit
1218,fit
1220,fit
1221,fit
1224,fit
1225,fit
1228,fit
1232,fit
1234,early_stopping
1236,fit
1238,fit
1240,fit
1241,fit
1242,fit
1243,fit
1244,fit
1246,early_stopping
1247,fit
1248,fit
1249,fit
1250,fit
1251,fit
1252,fit
1253,fit
1255,fit
1256,fit
1257,fit
1260,fit
1261,fit
1262,fit
1266,fit
1268,fit
1270,fit
1271,fit
1272,fit
1275,fit
1276,fit
1277,early_stopping
1279,fit
1280,early_stopping
1282,fit
1285,fit
1286,fit
1287,fit
1289,fit
1292,fit
1297,fit
1298,fit
1302,fit
1303,early_stopping
1305,fit
1306,early_stopping
1307,fit
1308,early_stopping
1310,fit
1311,fit
1313,fit
1316,fit
1317,fit
1319,fit
1320,fit
1322,fit
1324,fit
1327,fit
1329,fit
1330,fit
1331,fit
1332,fit
1333,fit
1334,fit
1335,fit
1336,fit
1337,fit
1338,fit
1339,fit
1342,fit
1343,fit
1344,fit
1345,fit
1346,fit
1347,early_stopping
1349,fit
1351,fit
1352,fit
1358,early_stopping
