ligand_id,inner_role
1,fit
3,fit
4,fit
6,fit
9,fit
10,fit
11,fit
15,fit
18,fit
28,fit
32,fit
33,fit
34,fit
35,early_stopping
36,fit
41,fit
42,fit
44,early_stopping
45,fit
49,fit
50,fit
53,fit
55,fit
56,fit
57,fit
58,fit
62,early_stopping
64,fit
66,fit
69,fit
75,fit
76,early_stopping
78,fit
80,fit
81,fit
82,fit
84,fit
86,fit
91,fit
92,fit
101,fit
104,fit
105,fit
116,fit
118,fit
119,fit
121,fit
125,fit
127,early_stopping
128,early_stopping
130,fit
142,fit
144,fit
145,fit
148,fit
149,fit
151,fit
152,fit
153,fit
159,early_stopping
160,fit
189,fit
195,fit
196,fit
200,early_stopping
206,fit
208,fit
210,fit
211,fit
213,fit
217,fit
218,early_stopping
227,fit
230,fit
231,early_stopping
234,fit
244,fit
245,early_stopping
249,fit
251,fit
258,fit
260,fit
263,fit
265,fit
269,early_stopping
270,fit
271,fit
273,fit
281,fit
289,early_stopping
292,fit
298,fit
299,fit
301,fit
307,fit
310,fit
312,fit
313,fit
318,fit
323,fit
325,fit
326,fit
327,fit
333,fit
337,early_stopping
338,fit
343,fit
352,fit
356,fit
360,fit
361,fit
362,fit
370,fit
376,fit
377,fit
379,fit
380,fit
381,fit
383,fit
386,fit
388,fit
392,fit
394,early_stopping
399,fit
406,fit
410,fit
414,early_stopping
415,fit
417,fit
429,fit
433,fit
434,early_stopping
436,early_stopping
437,fit
446,fit
449,fit
451,fit
452,fit
454,fit
459,fit
462,fit
463,fit
466,fit
468,fit
470,early_stopping
472,fit
477,fit
480,fit
487,fit
488,fit
489,fit
502,fit
510,fit
511,fit
513,fit
516,fit
519,fit
521,fit
526,fit
530,fit
531,early_stopping
533,fit
535,fit
542,early_stopping
546,fit
551,fit
554,fit
559,fit
562,fit
564,fit
566,fit
567,fit
573,fit
583,fit
586,fit
591,fit
593,fit
595,early_stopping
599,fit
601,fit
607,fit
608,early_stopping
614,fit
615,fit
618,early_stopping
623,early_stopping
627,fit
643,fit
646,early_stopping
655,fit
669,early_stopping
670,fit
674,fit
679,fit
694,fit
702,fit
704,fit
706,early_stopping
708,early_stopping
710,early_stopping
712,fit
726,fit
730,fit
734,fit
746,fit
747,fit
752,fit
753,early_stopping
754,early_stopping
757,fit
759,early_stopping
771,early_stopping
773,fit
778,fit
782,fit
783,fit
786,fit
787,fit
789,early_stopping
796,fit
797,fit
800,fit
802,fit
803,fit
805,fit
806,fit
813,fit
818,fit
821,fit
822,fit
823,fit
827,fit
829,fit
830,fit
832,fit
840,fit
841,fit
843,fit
845,fit
849,fit
854,fit
855,fit
858,fit
860,fit
861,fit
864,fit
867,fit
871,early_stopping
872,fit
873,fit
874,fit
875,fit
877,fit
884,fit
886,fit
887,fit
895,fit
897,fit
898,early_stopping
903,fit
904,early_stopping
906,early_stopping
907,fit
910,fit
911,fit
915,fit
916,fit
917,fit
920,fit
923,fit
924,fit
926,fit
927,fit
928,fit
937,fit
940,early_stopping
941,fit
946,early_stopping
947,early_stopping
948,fit
949,fit
951,fit
957,fit
958,fit
959,fit
960,fit
961,early_stopping
962,fit
964,early_stopping
965,fit
966,early_stopping
967,fit
969,fit
971,fit
972,fit
973,fit
974,fit
975,fit
977,fit
978,fit
979,fit
981,fit
984,fit
985,early_stopping
986,fit
987,fit
989,fit
990,fit
997,fit
998,fit
999,fit
1010,fit
1012,fit
1013,early_stopping
1015,fit
1017,early_stopping
1019,fit
1020,fit
1021,fit
1023,early_stopping
1024,fit
1025,fit
1030,early_stopping
1033,fit
1035,fit
1036,fit
1037,fit
1038,fit
1042,fit
1044,fit
1045,fit
1046,fit
1050,early_stopping
1052,fit
1057,fit
1058,fit
1060,fit
1063,fit
1064,early_stopping
1065,early_stopping
1066,fit
1068,fit
1069,fit
1070,fit
1071,fit
1074,early_stopping
1075,early_stopping
1078,fit
1079,fit
1081,fit
1082,early_stopping
1085,fit
1086,fit
1087,fit
1088,fit
1089,fit
1098,early_stopping
1099,early_stopping
1100,fit
1101,fit
1102,fit
1104,fit
1107,fit
1109,early_stopping
1112,fit
1114,fit
1118,fit
1120,fit
1121,fit
1122,fit
1125,fit
1128,fit
1129,fit
1130,fit
1132,fit
1136,fit
1137,early_stopping
1139,fit
1141,fit
1148,fit
1149,fit
1150,fit
1159,early_stopping
1160,fit
1178,fit
1180,fit
1183,fit
1184,fit
1187,fit
1192,fit
1193,fit
1194,fit
1199,fit
1200,fit
1203,fit
1204,early_stopping
1205,fit
1206,fit
1207,fit
1209,fit
1210,fit
1214,fit
1215,fit
1216,fit
1221,fit
1224,fit
1229,fit
1235,fit
1239,fit
1240,early_stopping
1244,fit
1245,fit
1246,fit
1247,early_stopping
1249,fit
1250,fit
1253,fit
1257,fit
1260,fit
1261,fit
1262,fit
1266,fit
1270,fit
1271,fit
1272,fit
1274,fit
1276,fit
1280,fit
1283,fit
1285,fit
1286,fit
1287,fit
1290,fit
1295,early_stopping
1300,fit
1303,fit
1304,fit
1307,fit
1309,fit
1310,early_stopping
1311,fit
1313,fit
1314,fit
1319,fit
1322,fit
1328,fit
1331,fit
1335,fit
1337,fit
1338,early_stopping
1340,fit
1341,fit
1342,fit
1343,fit
1344,fit
1345,early_stopping
1346,fit
1349,early_stopping
1352,fit
1354,fit
1358,fit
1360,early_stopping
1361,fit
1362,fit
1363,fit
1365,fit
1366,fit
1367,fit
1368,fit
1372,fit
1375,fit
1377,early_stopping
1379,early_stopping
1380,fit
1382,fit
1383,fit
1385,fit
1386,fit
1388,fit
1389,fit
1397,fit
1398,fit
1399,fit
1404,early_stopping
1406,fit
1410,fit
1416,fit
1418,fit
1419,fit
1420,fit
1423,fit
1426,fit
1427,early_stopping
1429,early_stopping
1430,early_stopping
1431,early_stopping
1434,fit
1435,early_stopping
1437,fit
1440,early_stopping
1441,fit
1445,fit
1446,fit
1448,fit
1451,early_stopping
1453,early_stopping
1455,fit
1456,fit
