run,comparator,joint_minus_comparator_score,ci_low,ci_high
butina04_seed42,prediction_only,-0.0551558784244833,-0.11359600162607343,0.009138124463715893
butina04_seed42,MW_logP,-0.06944669923389789,-0.1217287146932605,-0.020017029799433372
butina04_seed42,permuted_biology_0,-0.10708892584183183,-0.15919244847866854,-0.054780597742267796
butina04_seed42,permuted_biology_1,-0.12227651060746064,-0.17325099167536034,-0.07101106276028123
butina04_seed42,permuted_biology_2,-0.10869265642259986,-0.15896516155384455,-0.05851552480450396
butina04_seed42,permuted_biology_3,-0.11032928410765273,-0.1624645612923192,-0.058697930332259056
butina04_seed42,permuted_biology_4,-0.11871357936773269,-0.1710673124111328,-0.06774583724203956
butina04_seed43,prediction_only,-0.0738099248314787,-0.11567765048655636,-0.033248746919972344
butina04_seed43,MW_logP,-0.044117958998682635,-0.0777584152815981,-0.008623106903282688
butina04_seed43,permuted_biology_0,-0.08150613662960063,-0.12203093636413967,-0.041844588542638776
butina04_seed43,permuted_biology_1,-0.08994951318575839,-0.1279540725720025,-0.051856093299775544
butina04_seed43,permuted_biology_2,-0.09041239410157302,-0.12776403111290266,-0.05106793161303385
butina04_seed43,permuted_biology_3,-0.08225481923023571,-0.12035350965360934,-0.042746259626270454
butina04_seed43,permuted_biology_4,-0.08739495240436666,-0.12272333107279916,-0.04959420672476147
butina04_seed44,prediction_only,-0.07586978441408805,-0.12397703728387534,-0.025800031928002346
butina04_seed44,MW_logP,-0.04581561296497975,-0.078907911450404,-0.012664962067735321
butina04_seed44,permuted_biology_0,-0.12358281148228836,-0.15691389840553405,-0.08827753724645408
butina04_seed44,permuted_biology_1,-0.12059649842939855,-0.151202361523618,-0.08657763750174657
butina04_seed44,permuted_biology_2,-0.12522452719502356,-0.15655804506421303,-0.09163762995751099
butina04_seed44,permuted_biology_3,-0.11553737219982078,-0.14616334097070233,-0.08252228384656224
butina04_seed44,permuted_biology_4,-0.12121884440092602,-0.1508343721480346,-0.08956406265010769
butina04_seed45,prediction_only,-0.031154205762963436,-0.09366868734323211,0.0255497182990318
butina04_seed45,MW_logP,0.025872173822368578,-0.022889696962150336,0.07648801479692552
butina04_seed45,permuted_biology_0,-0.05309734454178172,-0.11024395425781648,-0.0003860893736067215
butina04_seed45,permuted_biology_1,-0.050881573090868305,-0.11076597260230321,0.0032332694155855924
butina04_seed45,permuted_biology_2,-0.0483701966721514,-0.10951018632696236,0.00719391950003831
butina04_seed45,permuted_biology_3,-0.04562396821830308,-0.10559000651674615,0.007625193041588155
butina04_seed45,permuted_biology_4,-0.04679310672601899,-0.1050953249595149,0.006381645064136352
butina04_seed46,prediction_only,-0.012616453660547247,-0.05889224082042546,0.04066352237525778
butina04_seed46,MW_logP,-0.025705884851529356,-0.061567509873981546,0.013944991319264962
butina04_seed46,permuted_biology_0,-0.048408937815000254,-0.09095202173140364,0.0023162454733464395
butina04_seed46,permuted_biology_1,-0.061773752443761834,-0.10583562056009592,-0.005020235255153748
butina04_seed46,permuted_biology_2,-0.05501879318842066,-0.0966101080755764,-0.004746666194359415
butina04_seed46,permuted_biology_3,-0.05428806599450517,-0.09777445809329771,0.000715752801931471
butina04_seed46,permuted_biology_4,-0.05061015785192271,-0.09412446180401249,0.0016738959337923903
