run,rmse,mae,r2,spearman,train,calibration,test,global_coverage,global_width,global_score,joint_coverage,joint_width,joint_score
butina03_seed42,0.4997948444114261,0.3468749042503268,0.5069961946726327,0.7089899886395354,8044,1933,2607,0.9106252397391638,1.5670278942749434,2.377274929513609,0.9025700038358266,1.4882028439713293,2.295205127470767
butina04_seed42,0.5165541136499708,0.36528672721808836,0.4624959574448444,0.668963243133254,7910,2142,2532,0.9040284360189572,1.6525852490178576,2.416837116528118,0.8941548183254344,1.528645831199062,2.309559467456994
butina04_seed43,0.5254375902664024,0.362710411150543,0.44170214539963315,0.6715546776234919,8120,2005,2459,0.8869459129727532,1.5242703610311563,2.474092587366966,0.8938592923952826,1.4602301437461618,2.3929474001303257
butina04_seed44,0.5257224652939143,0.36312990062155787,0.45131126946063205,0.6641416711966653,8021,2176,2387,0.915793883535819,1.7545971658214623,2.52188766452871,0.9141181399245916,1.664277092124796,2.403649650723001
butina04_seed45,0.5420894819630621,0.3647509011879708,0.46950875949754933,0.6927446112928942,8005,2025,2554,0.8888018794048551,1.5177788776029342,2.5625696545199053,0.874706342991386,1.425959162013153,2.5147313114159067
butina04_seed46,0.5068335874985385,0.3518185708667383,0.4731103303544114,0.6734254437701807,8129,1905,2550,0.8980392156862745,1.5790098973349176,2.414639972369202,0.8917647058823529,1.501944578449511,2.366191310606816
butina05_seed42,0.5212212859320557,0.3589589452655837,0.41162971047721675,0.6302533671970628,8009,1903,2672,0.9101796407185628,1.6222572971252838,2.471464372613821,0.8993263473053892,1.5148341038259212,2.376488378642327
random_size_matched_seed42,0.4921845663517059,0.33945469378730336,0.521986802068241,0.7165187789740886,7910,2142,2532,0.9004739336492891,1.4472895325093038,2.2895118533142296,0.8984992101105845,1.3903515654774794,2.209382863854262
random_size_matched_seed43,0.48169287244197556,0.341142596637397,0.5566951440027494,0.72754365296648,8120,2005,2459,0.901179341195608,1.469677798745726,2.2608142101938165,0.8979259861732412,1.408638447340609,2.1866002236541573
random_size_matched_seed44,0.49598953165952325,0.3478971040257514,0.5293300984064535,0.7274790543412863,8021,2176,2387,0.906158357771261,1.5246841419539665,2.303455558416152,0.9023879346459992,1.4445011759091866,2.2213153531988983
random_size_matched_seed45,0.4914995901767361,0.3467817684049735,0.5542349102553189,0.7141063576353605,8005,2025,2554,0.8899765074393109,1.430219749929979,2.290281839447817,0.8888018794048551,1.3669442478522746,2.219898333726492
random_size_matched_seed46,0.48999591631008593,0.3405501429209322,0.5522175507172362,0.7372993967749368,8129,1905,2550,0.9027450980392157,1.516119166774888,2.311065756894379,0.8968627450980392,1.4323277582300555,2.2369936593687205
repaired_reference,0.49737437236675347,0.347557202676611,0.5076594164767685,0.6972775804066838,8048,2014,2521,0.9020230067433558,1.5128929482477975,2.3152258779668244,0.89289964299881,1.4204395299219763,2.2441752871664713
