marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.37156672080350456,0.008840132313487124,0.37003464262526936,0.035130299776124155,1.0,True
hERG-10um,0.35208974606042703,0.009942992363970251,0.35645595013232995,0.03878932077023447,1.0,False
Respiratory,0.3440386998441928,0.008876981964855734,0.36396055378292314,0.032764004022852664,1.0,True
Neurotoxicity-DI,0.28532244072952767,0.010392817384999113,0.28956268151335485,0.042239421942021176,1.0,True
Acute_Aquatic_Toxicity,0.04283655703420884,0.008940433092921278,0.03767987187847786,0.03514245452610223,1.0,False
NonGenotoxic_Carcinogenicity,0.04190095214179374,0.009055391607752617,0.018296611623168747,0.03411205008045664,1.0,False
SkinSen,0.037059903114208266,0.011938791856334622,0.05302573190559968,0.04769947164947445,1.0,False
Nephrotoxicity-DI,0.03303240129388373,0.010768933375681116,0.04108598390208924,0.041907628704292404,1.0,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.0031647841315871335,0.008946698859894697,-0.01430562679894045,0.03547505001449178,0.26666666666666666,False
Skin_Sensitization,-0.0032153855723084934,0.01151897210415779,-0.0034907682285537523,0.04573543847299673,0.3,False
Genotoxicity,-0.00626394892564435,0.010654391821403953,-0.0020459767075609427,0.042937662623334844,0.3,False
Ames,-0.038657001493888156,0.012189294114505643,-0.04470395780732396,0.04820997876053103,0.0,False
H-HT,-0.04420573443969955,0.01370244416146665,-0.060166614459443934,0.05494744817875598,0.0,False
Carcinogenicity,-0.08083768631749669,0.009886261684484747,-0.09822506926240511,0.038778200364812186,0.0,False
Ototoxicity,-0.08955965053336673,0.013935923681997838,-0.10307486287929409,0.05564866446777459,0.0,False
EC,-0.10285969920682195,0.013742233690495735,-0.09671289900899487,0.05390498020747034,0.0,False
Hematotoxicity,-0.14279532028028907,0.013336097870043855,-0.14983599049549465,0.05300571883838639,0.0,False
EI,-0.19192959139613067,0.014608976922417884,-0.1860176479565644,0.05716246283640637,0.0,False
DILI,-0.20774142631699818,0.010903418790802715,-0.2142234146390398,0.04299125127321457,0.0,False
