ligand_id,role,cluster_id,row_index
1,train,1,0
2,train,2,1
3,train,3,2
4,train,4,3
6,train,6,4
8,train,8,5
10,train,10,7
11,train,8,8
14,train,14,11
15,train,15,12
18,train,18,14
20,train,20,16
23,train,23,19
26,train,26,22
28,train,28,24
31,train,31,27
32,train,32,28
35,train,35,31
37,train,31,33
40,train,40,35
43,train,43,38
47,train,47,42
48,train,48,43
50,train,43,45
54,train,47,49
55,train,55,50
57,train,43,52
59,train,59,54
62,train,62,56
64,train,8,58
65,train,65,59
67,train,67,61
68,train,68,62
69,train,69,63
71,train,71,65
72,train,72,66
73,train,73,67
77,train,77,71
78,train,78,72
79,train,79,73
82,train,82,76
83,train,83,77
92,train,92,84
93,train,93,85
94,train,94,86
96,train,93,88
98,train,98,90
101,train,101,92
105,train,105,95
108,train,108,97
115,train,115,103
116,train,116,104
119,train,119,106
124,train,124,110
134,train,134,118
139,train,139,122
141,train,141,124
142,train,142,125
148,train,148,128
149,train,79,129
150,train,150,130
152,train,152,132
155,train,155,134
157,train,157,135
158,train,158,136
159,train,159,137
160,train,160,138
161,train,161,139
163,train,163,141
164,train,164,142
165,train,69,143
170,train,170,145
173,train,173,147
175,train,175,148
178,train,178,149
180,train,180,151
182,train,182,152
189,train,189,154
194,train,194,155
201,train,23,160
202,train,202,161
203,train,203,162
206,train,206,164
207,train,207,165
208,train,208,166
210,train,210,167
211,train,211,168
215,train,215,170
217,train,217,172
218,train,67,173
219,train,219,174
226,train,182,178
227,train,217,179
229,train,229,181
230,train,219,182
231,train,219,183
233,train,233,184
234,train,234,185
237,train,148,187
240,train,240,188
241,train,241,189
245,train,245,192
246,train,246,193
248,train,94,194
249,train,219,195
250,train,94,196
251,train,251,197
256,train,256,200
257,train,257,201
258,train,15,202
259,train,259,203
261,train,261,205
262,train,262,206
263,train,262,207
264,train,261,208
266,train,28,210
268,train,219,211
271,train,271,214
272,train,272,215
273,train,142,216
274,train,274,217
275,train,275,218
276,train,276,219
280,train,240,221
283,train,283,223
287,train,67,225
292,train,292,228
294,train,139,230
295,train,69,231
298,train,82,232
299,train,299,233
300,train,202,234
301,train,219,235
302,train,302,236
306,train,306,238
307,train,272,239
310,train,79,240
312,train,219,241
317,train,317,243
318,train,318,244
320,train,320,245
321,train,321,246
323,train,323,248
324,train,324,249
325,train,47,250
326,train,272,251
327,train,327,252
332,train,332,254
334,train,334,256
336,train,336,258
338,train,338,260
340,train,340,262
343,train,343,263
346,train,346,266
348,train,348,267
352,train,352,269
356,train,356,271
358,train,358,273
360,train,360,275
362,train,299,277
364,train,364,279
365,train,163,280
366,train,366,281
370,train,189,283
375,train,375,286
378,train,378,289
379,train,379,290
381,train,272,292
382,train,141,293
383,train,383,294
386,train,217,295
388,train,388,296
394,train,67,301
396,train,396,303
398,train,398,305
405,train,405,312
406,train,152,313
407,train,407,314
410,train,410,316
414,train,414,319
415,train,415,320
418,train,418,323
424,train,134,328
425,train,134,329
426,train,426,330
428,train,428,332
429,train,429,333
431,train,306,334
434,train,79,337
436,train,436,338
440,train,440,341
446,train,446,343
447,train,447,344
448,train,448,345
449,train,449,346
450,train,450,347
451,train,451,348
454,train,454,350
457,train,457,352
459,train,459,353
461,train,461,354
463,train,219,356
466,train,343,357
467,train,467,358
468,train,468,359
470,train,470,361
471,train,245,362
473,train,157,364
475,train,475,366
477,train,477,368
479,train,479,370
480,train,480,371
481,train,481,372
483,train,170,374
486,train,486,375
492,train,492,381
493,train,493,382
495,train,262,384
496,train,261,385
497,train,262,386
498,train,262,387
499,train,261,388
500,train,262,389
501,train,262,390
508,train,508,395
509,train,509,396
511,train,219,398
513,train,388,400
514,train,514,401
515,train,182,402
519,train,519,404
520,train,520,405
521,train,521,406
523,train,523,407
526,train,526,410
527,train,219,411
528,train,528,412
529,train,529,413
530,train,530,414
532,train,14,416
537,train,537,420
542,train,72,423
544,train,544,424
546,train,546,425
547,train,547,426
551,train,551,428
554,train,554,430
556,train,556,431
559,train,559,432
562,train,323,433
564,train,564,434
565,train,565,435
567,train,567,437
568,train,568,438
573,train,217,440
579,train,579,442
583,train,217,444
585,train,579,446
589,train,589,449
591,train,591,450
592,train,592,451
593,train,593,452
594,train,594,453
599,train,599,458
600,train,182,459
601,train,601,460
602,train,170,461
605,train,605,464
607,train,607,465
608,train,607,466
609,train,447,467
611,train,611,468
612,train,447,469
616,train,616,473
618,train,618,475
619,train,619,476
620,train,620,477
621,train,621,478
622,train,150,479
623,train,623,480
624,train,624,481
625,train,625,482
627,train,20,484
629,train,629,485
630,train,630,486
631,train,631,487
640,train,640,492
642,train,642,494
643,train,643,495
647,train,647,498
649,train,649,500
650,train,650,501
659,train,659,506
664,train,170,508
666,train,666,509
667,train,217,510
668,train,668,511
669,train,669,512
672,train,262,515
674,train,674,516
676,train,23,517
681,train,681,522
682,train,682,523
683,train,683,524
686,train,605,526
688,train,688,528
690,train,690,530
695,train,695,532
696,train,568,533
699,train,699,536
703,train,703,540
704,train,704,541
705,train,170,542
706,train,607,543
707,train,537,544
708,train,708,545
709,train,709,546
712,train,272,549
716,train,716,551
718,train,718,552
721,train,98,554
724,train,605,556
725,train,725,557
726,train,726,558
735,train,735,565
743,train,743,568
744,train,182,569
745,train,681,570
747,train,747,572
748,train,748,573
751,train,751,574
754,train,754,577
755,train,115,578
762,train,762,583
763,train,763,584
764,train,764,585
766,train,766,586
767,train,766,587
768,train,766,588
