marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3712930754356841,0.006853242275658956,0.370413553190757,0.02741348349524204,1.0,True
hERG-10um,0.35203749310383586,0.007356246435295723,0.3549251502729331,0.029020941762606254,1.0,False
Respiratory,0.3479324762875582,0.008433030967406706,0.33713731618047416,0.03395591944945237,1.0,True
Neurotoxicity-DI,0.29587137294350047,0.007388283407932741,0.2838906488854413,0.029403088402387704,1.0,True
Nephrotoxicity-DI,0.05938273647089317,0.008318896055904072,0.05725291005935995,0.033002828353356085,1.0,False
SkinSen,0.03525141902215127,0.007337909455950216,0.030686458857907203,0.02843985754443599,1.0,False
NonGenotoxic_Carcinogenicity,0.034224339073028354,0.01156414911406423,0.03022964521401712,0.041332897023540933,1.0,False
Acute_Aquatic_Toxicity,0.030994060950545514,0.010688883059987999,0.023512682207157205,0.04232945170309333,1.0,False
Skin_Sensitization,0.0005688241205617147,0.00916477585030361,-0.0004527861817121959,0.036223241910847914,0.43333333333333335,False
Genotoxicity,-0.0053627311751144,0.008271179736753294,-0.003017359937852689,0.03243013240564593,0.26666666666666666,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.008311271422767278,0.008469560503071266,-0.005162102769671802,0.03340110814825374,0.13333333333333333,False
H-HT,-0.024562044229032506,0.008455348326032362,-0.025426076492737867,0.03340112432806415,0.0,False
Ames,-0.03343411222629044,0.00904134349289373,-0.038191653899712776,0.03640997928198347,0.0,False
Ototoxicity,-0.06461073160088666,0.010391377306498863,-0.054643243293985726,0.040687921108183325,0.0,False
Carcinogenicity,-0.08851640917173965,0.00846637141705693,-0.0825810027760444,0.032760272122225945,0.0,False
EC,-0.11389884236435252,0.008919601151664965,-0.12396262432611818,0.034917180151033594,0.0,False
Hematotoxicity,-0.12293502200853926,0.01025582503218065,-0.12735799605852666,0.04064762128229581,0.0,False
DILI,-0.19355796685265325,0.00842627085751318,-0.2135089681077988,0.032821688990645435,0.0,False
EI,-0.20584528806902405,0.008864111943708721,-0.21415538916550764,0.03477937951178547,0.0,False
