ligand_id,role,cluster_id,row_index
2,train,2,1
4,train,4,3
6,train,6,4
8,train,8,5
9,train,9,6
11,train,11,8
12,train,12,9
14,train,14,11
16,train,16,13
19,train,19,15
20,train,20,16
21,train,21,17
24,train,22,20
26,train,26,22
27,train,27,23
29,train,29,25
31,train,31,27
33,train,33,29
34,train,30,30
35,train,35,31
36,train,30,32
37,train,31,33
42,train,42,37
43,train,43,38
44,train,44,39
45,train,45,40
46,train,46,41
47,train,47,42
48,train,48,43
49,train,49,44
50,train,50,45
51,train,51,46
53,train,45,48
54,train,47,49
55,train,55,50
56,train,56,51
57,train,57,52
58,train,58,53
59,train,59,54
63,train,63,57
64,train,64,58
65,train,65,59
66,train,66,60
67,train,67,61
69,train,47,63
71,train,71,65
72,train,72,66
74,train,74,68
75,train,75,69
76,train,76,70
78,train,78,72
80,train,80,74
82,train,82,76
83,train,83,77
84,train,84,78
85,train,85,79
88,train,88,81
90,train,90,82
92,train,92,84
93,train,93,85
94,train,94,86
95,train,95,87
96,train,96,88
97,train,97,89
98,train,98,90
101,train,101,92
104,train,104,94
106,train,106,96
111,train,111,99
113,train,113,101
114,train,113,102
115,train,115,103
118,train,118,105
119,train,119,106
121,train,109,107
122,train,122,108
123,train,123,109
124,train,124,110
125,train,125,111
126,train,126,112
127,train,127,113
128,train,128,114
130,train,130,116
131,train,90,117
134,train,134,118
136,train,126,120
139,train,139,122
140,train,140,123
144,train,144,126
145,train,145,127
148,train,148,128
151,train,151,131
152,train,152,132
153,train,153,133
158,train,158,136
159,train,159,137
160,train,160,138
161,train,161,139
162,train,126,140
163,train,163,141
164,train,164,142
170,train,170,145
171,train,171,146
173,train,173,147
175,train,175,148
178,train,178,149
179,train,179,150
180,train,180,151
184,train,184,153
194,train,194,155
195,train,195,156
196,train,196,157
200,train,200,159
201,train,201,160
203,train,203,162
204,train,204,163
206,train,206,164
207,train,207,165
210,train,210,167
211,train,211,168
213,train,213,169
215,train,215,170
219,train,219,174
221,train,221,175
225,train,225,177
226,train,182,178
228,train,228,180
229,train,229,181
230,train,230,182
231,train,231,183
236,train,236,186
237,train,151,187
241,train,241,189
246,train,246,193
249,train,249,195
251,train,251,197
253,train,253,198
257,train,257,201
258,train,15,202
260,train,260,204
261,train,261,205
262,train,262,206
264,train,264,208
265,train,265,209
266,train,266,210
271,train,271,214
272,train,249,215
273,train,142,216
275,train,275,218
281,train,281,222
284,train,284,224
287,train,287,225
288,train,288,226
293,train,293,229
298,train,82,232
302,train,302,236
303,train,303,237
306,train,306,238
307,train,307,239
310,train,310,240
312,train,230,241
313,train,313,242
317,train,317,243
320,train,320,245
321,train,321,246
322,train,322,247
325,train,47,250
326,train,249,251
328,train,300,253
333,train,333,255
334,train,334,256
335,train,335,257
336,train,336,258
337,train,337,259
338,train,338,260
339,train,339,261
343,train,343,263
344,train,344,264
350,train,350,268
352,train,352,269
353,train,353,270
359,train,111,274
362,train,299,277
366,train,366,281
368,train,368,282
372,train,372,284
375,train,375,286
377,train,377,288
378,train,378,289
380,train,380,291
383,train,383,294
386,train,160,295
388,train,388,296
391,train,391,298
393,train,393,300
394,train,218,301
397,train,397,304
398,train,398,305
399,train,399,306
400,train,400,307
401,train,401,308
402,train,402,309
403,train,403,310
404,train,404,311
405,train,405,312
406,train,406,313
407,train,407,314
408,train,408,315
410,train,410,316
411,train,411,317
412,train,412,318
414,train,414,319
415,train,415,320
416,train,166,321
417,train,417,322
418,train,179,323
421,train,421,325
422,train,422,326
423,train,423,327
424,train,134,328
429,train,429,333
431,train,306,334
433,train,118,336
434,train,128,337
438,train,438,340
440,train,440,341
446,train,446,343
448,train,448,345
449,train,449,346
450,train,450,347
452,train,452,349
454,train,454,350
456,train,456,351
457,train,457,352
459,train,459,353
461,train,461,354
463,train,249,356
468,train,468,359
469,train,469,360
470,train,470,361
472,train,472,363
473,train,473,364
476,train,476,367
477,train,477,368
478,train,478,369
481,train,480,372
486,train,486,375
487,train,487,376
488,train,488,377
489,train,489,378
491,train,491,380
492,train,492,381
493,train,493,382
494,train,494,383
499,train,499,388
501,train,501,390
503,train,503,392
506,train,506,393
507,train,507,394
508,train,508,395
510,train,510,397
511,train,230,398
513,train,513,400
515,train,182,402
516,train,516,403
524,train,524,408
525,train,253,409
527,train,395,411
529,train,529,413
530,train,530,414
532,train,14,416
533,train,533,417
534,train,534,418
537,train,537,420
540,train,420,421
541,train,541,422
542,train,72,423
546,train,546,425
547,train,547,426
553,train,293,429
559,train,559,432
562,train,562,433
565,train,565,435
566,train,566,436
567,train,567,437
573,train,573,440
574,train,574,441
585,train,579,446
587,train,587,448
591,train,562,450
592,train,592,451
593,train,593,452
595,train,595,454
597,train,200,456
598,train,322,457
601,train,601,460
603,train,603,462
605,train,605,464
607,train,607,465
609,train,447,467
611,train,611,468
612,train,447,469
613,train,613,470
615,train,615,472
616,train,616,473
617,train,617,474
619,train,619,476
620,train,620,477
623,train,623,480
624,train,624,481
625,train,625,482
627,train,627,484
633,train,584,488
634,train,634,489
638,train,221,491
640,train,640,492
645,train,645,496
646,train,337,497
647,train,647,498
648,train,648,499
649,train,649,500
650,train,650,501
651,train,651,502
653,train,653,503
655,train,655,504
658,train,658,505
659,train,659,506
660,train,660,507
664,train,664,508
670,train,670,513
671,train,671,514
676,train,23,517
677,train,677,518
678,train,678,519
679,train,196,520
681,train,681,522
682,train,682,523
683,train,683,524
686,train,605,526
687,train,357,527
688,train,688,528
689,train,689,529
690,train,690,530
694,train,307,531
695,train,695,532
697,train,166,534
698,train,402,535
699,train,699,536
700,train,700,537
702,train,702,539
703,train,703,540
705,train,170,542
706,train,608,543
707,train,707,544
708,train,708,545
709,train,709,546
710,train,710,547
711,train,584,548
712,train,249,549
714,train,714,550
716,train,716,551
718,train,718,552
721,train,98,554
722,train,722,555
724,train,605,556
725,train,725,557
726,train,726,558
727,train,727,559
728,train,79,560
730,train,730,562
738,train,738,566
740,train,740,567
743,train,743,568
744,train,182,569
747,train,747,572
748,train,748,573
751,train,751,574
754,train,754,577
756,train,12,579
757,train,757,580
759,train,759,581
762,train,762,583
763,train,763,584
764,train,764,585
766,train,766,586
767,train,767,587
768,train,766,588
769,train,766,589
772,train,766,592
773,train,773,593
774,train,774,594
776,train,776,595
778,train,778,596
780,train,780,597
782,train,782,599
783,train,783,600
786,train,786,601
787,train,787,602
789,train,789,603
791,train,791,605
792,train,792,606
797,train,797,610
798,train,798,611
799,train,799,612
800,train,338,613
804,train,804,617
805,train,738,618
806,train,806,619
810,train,810,622
813,train,813,625
814,train,814,626
816,train,816,628
818,train,763,629
820,train,790,631
823,train,823,634
827,train,827,636
828,train,456,637
829,train,18,638
830,train,830,639
831,train,831,640
832,train,832,641
833,train,12,642
834,train,834,643
837,train,837,646
840,train,230,648
842,train,842,650
843,train,843,651
845,train,845,653
846,train,846,654
850,train,850,657
854,train,854,660
855,train,855,661
858,train,858,663
860,train,860,665
862,train,862,667
864,train,864,669
867,train,867,671
868,train,868,672
871,train,871,673
873,train,82,675
874,train,874,676
875,train,875,677
877,train,877,678
879,train,879,679
881,train,881,681
886,train,886,685
887,train,887,686
890,train,890,689
891,train,891,690
892,train,892,691
896,train,896,694
898,train,898,696
901,train,901,698
903,train,50,700
904,train,904,701
905,train,905,702
908,train,908,705
910,train,910,706
911,train,911,707
912,train,912,708
918,train,918,712
920,train,920,713
921,train,921,714
922,train,922,715
923,train,923,716
925,train,925,718
926,train,926,719
927,train,927,720
929,train,929,722
930,train,930,723
934,train,934,726
937,train,937,728
938,train,938,729
941,train,941,732
944,train,944,733
946,train,946,735
950,train,950,739
952,train,952,741
954,train,954,742
957,train,957,745
960,train,234,748
961,train,961,749
964,train,62,751
965,train,965,752
969,train,969,756
970,train,970,757
972,train,3,759
973,train,973,760
974,train,974,761
977,train,977,763
979,train,979,765
982,train,982,768
983,train,983,769
987,train,987,773
994,train,994,779
997,train,997,780
998,train,998,781
1002,train,896,784
1006,train,1006,786
1007,train,1007,787
1008,train,1008,788
1009,train,1009,789
1010,train,1010,790
1011,train,1011,791
1013,train,1013,793
1014,train,1014,794
1021,train,1021,800
1023,train,1023,801
1024,train,1024,802
1025,train,1025,803
1026,train,1026,804
1027,train,1027,805
1028,train,1028,806
1029,train,1029,807
1030,train,1030,808
1032,train,1032,810
1033,train,1033,811
1034,train,1034,812
1035,train,1035,813
1036,train,1036,814
1037,train,1037,815
1038,train,1038,816
1039,train,1039,817
1040,train,1040,818
1041,train,1041,819
1043,train,1043,821
1044,train,1044,822
1045,train,1045,823
1048,train,1048,825
1049,train,1049,826
1050,train,1050,827
1052,train,1052,829
1056,train,1056,831
1057,train,47,832
1061,train,1061,836
1062,train,1062,837
1064,train,1064,839
1065,train,1065,840
1066,train,1066,841
1069,train,1069,844
1070,train,1070,845
1071,train,1071,846
1072,train,1072,847
1073,train,1073,848
1074,train,1074,849
1077,train,1077,852
1078,train,47,853
1080,train,1080,855
1081,train,1066,856
1082,train,1074,857
1084,train,881,859
1085,train,1066,860
1087,train,1066,862
1092,train,1092,867
1093,train,47,868
1097,train,1097,871
1098,train,789,872
1100,train,1100,874
1102,train,1102,876
1103,train,1103,877
1108,train,929,881
1109,train,1109,882
1110,train,1110,883
1111,train,1111,884
1117,train,1117,889
1118,train,1118,890
1119,train,980,891
1120,train,1120,892
1121,train,1121,893
1124,train,1124,896
1126,train,1126,898
1129,train,1129,901
1130,train,3,902
1131,train,1131,903
1133,train,1133,905
1135,train,1135,907
1136,train,1136,908
1137,train,1075,909
1139,train,1139,910
1148,train,1148,916
1150,train,1150,918
1151,train,1151,919
1152,train,801,920
1154,train,22,922
1157,train,1157,924
1159,train,898,925
1160,train,1160,926
