ligand_id,role,cluster_id,row_index
2,train,8240.0,1
3,train,2099.0,2
6,train,8238.0,4
8,train,8237.0,5
9,train,8236.0,6
10,train,8235.0,7
11,train,8234.0,8
12,train,234.0,9
13,train,8233.0,10
16,train,139.0,13
18,train,2108.0,14
20,train,441.0,16
21,train,8231.0,17
22,train,2133.0,18
23,train,705.0,19
26,train,8229.0,22
27,train,8228.0,23
28,train,718.0,24
29,train,8227.0,25
30,train,1162.0,26
31,train,2132.0,27
32,train,8226.0,28
33,train,2054.0,29
34,train,8225.0,30
35,train,8224.0,31
37,train,2132.0,33
39,train,8223.0,34
40,train,8222.0,35
41,train,8221.0,36
42,train,8220.0,37
43,train,8219.0,38
44,train,8218.0,39
45,train,8217.0,40
46,train,8216.0,41
49,train,8214.0,44
50,train,1118.0,45
52,train,8213.0,47
54,train,33.0,49
55,train,8211.0,50
57,train,8209.0,52
58,train,8208.0,53
59,train,1625.0,54
65,train,8205.0,59
66,train,8204.0,60
67,train,8203.0,61
69,train,33.0,63
70,train,8201.0,64
72,train,2116.0,66
75,train,8198.0,69
76,train,8197.0,70
77,train,8196.0,71
79,train,20.0,73
81,train,8194.0,75
82,train,10.0,76
83,train,8193.0,77
84,train,8192.0,78
85,train,8191.0,79
88,train,8189.0,81
90,train,2129.0,82
91,train,8188.0,83
92,train,1593.0,84
93,train,8187.0,85
94,train,5.0,86
95,train,8186.0,87
96,train,8185.0,88
100,train,8183.0,91
104,train,8180.0,94
105,train,1132.0,95
108,train,71.0,97
113,train,73.0,101
116,train,8177.0,104
118,train,2119.0,105
119,train,8176.0,106
121,train,8175.0,107
122,train,13.0,108
123,train,8174.0,109
125,train,465.0,111
126,train,716.0,112
127,train,397.0,113
128,train,2130.0,114
129,train,1462.0,115
131,train,2129.0,117
135,train,8171.0,119
136,train,716.0,120
139,train,211.0,122
140,train,8169.0,123
144,train,8168.0,126
145,train,8167.0,127
148,train,479.0,128
151,train,8166.0,131
152,train,43.0,132
153,train,8165.0,133
155,train,8164.0,134
157,train,8163.0,135
158,train,2048.0,136
159,train,1042.0,137
160,train,371.0,138
161,train,8162.0,139
162,train,716.0,140
164,train,8161.0,142
165,train,2128.0,143
166,train,237.0,144
170,train,8160.0,145
173,train,28.0,147
175,train,8159.0,148
178,train,8158.0,149
180,train,8157.0,151
182,train,25.0,152
184,train,8156.0,153
