ligand_id,role,max_tanimoto_to_train,nearest_training_id
2,calibration,0.4,5983
13,calibration,0.5849056603773585,1629
24,calibration,0.6097560975609756,22
28,calibration,0.673469387755102,1518
30,calibration,0.4714285714285714,3958
36,calibration,0.5151515151515151,3958
37,calibration,0.6458333333333334,31
50,calibration,0.5555555555555556,7714
60,calibration,0.3235294117647059,3937
65,calibration,0.28125,25
71,calibration,0.4666666666666667,806
75,calibration,0.21621621621621623,7175
78,calibration,0.47058823529411764,1139
79,calibration,0.6842105263157895,149
96,calibration,0.5957446808510638,93
104,calibration,0.5217391304347826,1160
115,calibration,0.5416666666666666,12341
126,calibration,0.578125,5788
135,calibration,0.37142857142857144,3184
136,calibration,0.5714285714285714,5788
138,calibration,0.4666666666666667,727
145,calibration,0.46,7925
150,calibration,0.6491228070175439,3682
151,calibration,0.609375,2476
155,calibration,0.48936170212765956,14670
160,calibration,0.603448275862069,14383
162,calibration,0.5373134328358209,5788
163,calibration,0.5348837209302325,10418
164,calibration,0.42857142857142855,475
165,calibration,0.47058823529411764,403
173,calibration,0.5897435897435898,5615
175,calibration,0.38235294117647056,6137
184,calibration,0.55,653
189,calibration,0.62,2474
197,calibration,0.5178571428571429,13505
221,calibration,0.6440677966101694,5788
236,calibration,0.5769230769230769,1287
237,calibration,0.6779661016949152,2476
276,calibration,0.49,7076
279,calibration,0.6538461538461539,4330
300,calibration,0.6764705882352942,15972
303,calibration,0.38636363636363635,9162
306,calibration,0.47619047619047616,11217
326,calibration,0.6730769230769231,2093
327,calibration,0.058823529411764705,3761
332,calibration,0.4375,5897
339,calibration,0.4594594594594595,337
348,calibration,0.32142857142857145,16411
364,calibration,0.23076923076923078,8710
365,calibration,0.6486486486486487,10418
368,calibration,0.3333333333333333,10274
372,calibration,0.27586206896551724,4643
389,calibration,0.6,394
392,calibration,0.5555555555555556,3718
398,calibration,0.5308641975308642,6879
399,calibration,0.38461538461538464,401
404,calibration,0.3269230769230769,494
407,calibration,0.5116279069767442,3101
415,calibration,0.6470588235294118,2808
417,calibration,0.5185185185185185,3163
420,calibration,0.6470588235294118,3718
423,calibration,0.5454545454545454,3273
429,calibration,0.3888888888888889,159
431,calibration,0.625,11217
448,calibration,0.6041666666666666,15111
452,calibration,0.5263157894736842,2987
454,calibration,0.6410256410256411,4416
459,calibration,0.5,5138
466,calibration,0.5135135135135135,343
474,calibration,0.6511627906976745,7349
478,calibration,0.42857142857142855,403
481,calibration,0.627906976744186,1555
487,calibration,0.3333333333333333,433
511,calibration,0.6666666666666666,230
519,calibration,0.62,13040
525,calibration,0.6197183098591549,2731
547,calibration,0.48148148148148145,67
567,calibration,0.4897959183673469,103
568,calibration,0.6041666666666666,696
574,calibration,0.45054945054945056,2801
579,calibration,0.22807017543859648,4192
580,calibration,0.6101694915254238,8887
584,calibration,0.5942028985507246,638
585,calibration,0.25688073394495414,4192
596,calibration,0.671875,357
597,calibration,0.7230769230769231,200
598,calibration,0.6885245901639344,322
604,calibration,0.640625,15158
607,calibration,0.6607142857142857,1372
617,calibration,0.4,15241
618,calibration,0.5813953488372093,1519
623,calibration,0.6153846153846154,3670
633,calibration,0.6307692307692307,638
670,calibration,0.40816326530612246,1924
674,calibration,0.696969696969697,3482
678,calibration,0.3,1404
687,calibration,0.6417910447761194,357
708,calibration,0.42105263157894735,3
711,calibration,0.6029411764705882,638
728,calibration,0.7111111111111111,8066
743,calibration,0.48484848484848486,12111
746,calibration,0.8333333333333334,12152
753,calibration,0.6833333333333333,15158
755,calibration,0.5176470588235295,10520
767,calibration,0.48,1939
776,calibration,0.6153846153846154,8441
778,calibration,0.5588235294117647,9114
782,calibration,0.5333333333333333,3645
789,calibration,0.6896551724137931,3077
792,calibration,0.4782608695652174,920
793,calibration,0.55,16420
796,calibration,0.625,1557
797,calibration,0.48936170212765956,6163
809,calibration,0.5833333333333334,1155
811,calibration,0.6857142857142857,15969
827,calibration,0.4473684210526316,15349
841,calibration,0.39473684210526316,16431
844,calibration,0.6461538461538462,12153
845,calibration,0.6216216216216216,4689
855,calibration,0.5333333333333333,821
856,calibration,0.4230769230769231,1676
860,calibration,0.3,837
863,calibration,0.47058823529411764,1691
882,calibration,0.42105263157894735,8956
883,calibration,0.4358974358974359,48
888,calibration,0.5,887
893,calibration,0.3333333333333333,2754
899,calibration,0.4074074074074074,1703
901,calibration,0.5666666666666667,2317
903,calibration,0.4642857142857143,2581
905,calibration,0.48484848484848486,1703
907,calibration,0.5925925925925926,3775
911,calibration,0.4827586206896552,1703
916,calibration,0.39285714285714285,2114
924,calibration,0.38,12970
952,calibration,0.375,967
954,calibration,0.5806451612903226,955
957,calibration,0.6,1617
965,calibration,0.4358974358974359,9011
966,calibration,0.6333333333333333,4496
969,calibration,0.5517241379310345,3282
970,calibration,0.6666666666666666,3890
972,calibration,0.64,3
973,calibration,0.6764705882352942,3019
978,calibration,0.3793103448275862,1118
989,calibration,0.47368421052631576,2244
1011,calibration,0.6190476190476191,3183
1016,calibration,0.5652173913043478,1013
1032,calibration,0.64,1247
1033,calibration,0.5172413793103449,4535
1040,calibration,0.48148148148148145,13001
1053,calibration,0.32142857142857145,2144
1057,calibration,0.43478260869565216,9432
1061,calibration,0.38461538461538464,1120
1069,calibration,0.5555555555555556,1074
1082,calibration,0.6842105263157895,1074
1084,calibration,0.6666666666666666,1095
1088,calibration,0.4583333333333333,2144
1090,calibration,0.5263157894736842,15672
1092,calibration,0.5416666666666666,1095
1094,calibration,0.6190476190476191,1074
1104,calibration,0.53125,2317
1116,calibration,0.4375,6124
1153,calibration,0.375,2754
1154,calibration,0.5517241379310345,22
1165,calibration,0.34177215189873417,3091
1170,calibration,0.6909090909090909,3567
1175,calibration,0.6923076923076923,754
1178,calibration,0.5483870967741935,2608
1198,calibration,0.6333333333333333,955
1205,calibration,0.4090909090909091,6466
1210,calibration,0.3181818181818182,1135
1217,calibration,0.4583333333333333,1758
1219,calibration,0.6086956521739131,2144
1221,calibration,0.6290322580645161,627
1228,calibration,0.4666666666666667,902
1236,calibration,0.4583333333333333,1758
1252,calibration,0.4375,68
1253,calibration,0.14285714285714285,4173
1255,calibration,0.5135135135135135,1520
1257,calibration,0.18518518518518517,12623
1264,calibration,0.47058823529411764,1263
1266,calibration,0.3,7710
1271,calibration,0.6818181818181818,2573
1272,calibration,0.2857142857142857,5060
1275,calibration,0.5166666666666667,4016
1279,calibration,0.3582089552238806,3573
1281,calibration,0.43243243243243246,1077
1284,calibration,0.6216216216216216,1918
1285,calibration,0.6052631578947368,1729
1295,calibration,0.55,9750
1297,calibration,0.5333333333333333,1355
1298,calibration,0.5333333333333333,1355
1309,calibration,0.6333333333333333,1312
1329,calibration,0.5238095238095238,14264
1332,calibration,0.5428571428571428,1121
1343,calibration,0.36,1095
1345,calibration,0.3958333333333333,1341
1354,calibration,0.36363636363636365,11925
1363,calibration,0.5384615384615384,10667
1364,calibration,0.48,1070
1390,calibration,0.6086956521739131,710
1398,calibration,0.6153846153846154,3676
1405,calibration,0.7333333333333333,627
1408,calibration,0.75,22
1419,calibration,0.589041095890411,3146
1424,calibration,0.6567164179104478,627
1431,calibration,0.6785714285714286,3474
1437,calibration,0.5344827586206896,1429
1440,calibration,0.6833333333333333,15158
1443,calibration,0.30303030303030304,910
1447,calibration,0.6896551724137931,3567
1448,calibration,0.5636363636363636,1518
1452,calibration,0.4444444444444444,29
1454,calibration,0.5,3131
1464,calibration,0.5476190476190477,2472
1466,calibration,0.6538461538461539,3235
1481,calibration,0.4857142857142857,1798
1502,calibration,0.35,764
1528,calibration,0.45161290322580644,4791
1565,calibration,0.5384615384615384,10195
1573,calibration,0.4166666666666667,1442
1583,calibration,0.6551724137931034,2709
1593,calibration,0.3793103448275862,7146
1628,calibration,0.4888888888888889,10646
1632,calibration,0.3333333333333333,1135
1639,calibration,0.7555555555555555,10277
1650,calibration,0.47368421052631576,1651
1669,calibration,0.6190476190476191,3459
1682,calibration,0.3076923076923077,1634
1686,calibration,0.5263157894736842,1644
1687,calibration,0.6956521739130435,15917
1689,calibration,0.6071428571428571,7696
1694,calibration,0.35714285714285715,1226
1702,calibration,0.6052631578947368,4592
1706,calibration,0.5740740740740741,842
1719,calibration,0.5806451612903226,3335
1721,calibration,0.6388888888888888,14333
1723,calibration,0.5555555555555556,1665
1726,calibration,0.6341463414634146,5187
1742,calibration,0.5517241379310345,4813
1743,calibration,0.6666666666666666,1020
1746,calibration,0.6896551724137931,1747
1749,calibration,0.43478260869565216,1751
1750,calibration,0.4782608695652174,614
1752,calibration,0.375,10439
1753,calibration,0.625,1134
1762,calibration,0.4166666666666667,1865
1763,calibration,0.375,1865
1768,calibration,0.5806451612903226,1186
1771,calibration,0.6060606060606061,6146
1783,calibration,0.5416666666666666,15410
1785,calibration,0.5185185185185185,1865
1786,calibration,0.68,1865
1787,calibration,0.6071428571428571,1865
1791,calibration,0.5370370370370371,2862
1811,calibration,0.47058823529411764,1085
1812,calibration,0.6666666666666666,1492
1816,calibration,0.4230769230769231,3487
1817,calibration,0.48,9693
1823,calibration,0.5555555555555556,4535
1826,calibration,0.625,2154
1832,calibration,0.65,3384
1842,calibration,0.5909090909090909,11334
1848,calibration,0.6862745098039216,2860
1849,calibration,0.6862745098039216,2949
1854,calibration,0.5,12561
1866,calibration,0.47619047619047616,4964
1868,calibration,0.5217391304347826,5251
1877,calibration,0.3055555555555556,5773
1904,calibration,0.375,1692
1910,calibration,0.5263157894736842,1074
1925,calibration,0.5483870967741935,3742
1929,calibration,0.27906976744186046,1203
1937,calibration,0.22093023255813954,11694
1944,calibration,0.3888888888888889,1790
1951,calibration,0.5454545454545454,1206
1956,calibration,0.6666666666666666,482
1961,calibration,0.625,4059
1967,calibration,0.7,11334
1970,calibration,0.6136363636363636,2083
1972,calibration,0.23214285714285715,9838
1975,calibration,0.4489795918367347,2047
1979,calibration,0.3,13346
1988,calibration,0.38095238095238093,8956
1998,calibration,0.5517241379310345,3347
2006,calibration,0.36,926
2007,calibration,0.59375,3475
2012,calibration,0.5833333333333334,10616
2014,calibration,0.6875,5955
2016,calibration,0.5151515151515151,4459
2019,calibration,0.5357142857142857,1118
2048,calibration,0.4166666666666667,14117
2062,calibration,0.5,16422
2067,calibration,0.64,8307
2069,calibration,0.5227272727272727,7621
2071,calibration,0.5,15145
2079,calibration,0.55,920
2109,calibration,0.4583333333333333,1758
2116,calibration,0.4375,178
2118,calibration,0.5333333333333333,1019
2155,calibration,0.34146341463414637,10223
2157,calibration,0.7,12869
2186,calibration,0.6875,10211
2193,calibration,0.6944444444444444,1306
2206,calibration,0.6129032258064516,6665
2219,calibration,0.3673469387755102,8065
2222,calibration,0.4375,2317
2223,calibration,0.4090909090909091,3612
2229,calibration,0.40350877192982454,14750
2248,calibration,0.47058823529411764,1358
2251,calibration,0.44680851063829785,679
2255,calibration,0.5,2520
2256,calibration,0.52,2520
2257,calibration,0.6,2259
2260,calibration,0.5555555555555556,1381
2261,calibration,0.5357142857142857,1381
2270,calibration,0.52,10901
2273,calibration,0.3333333333333333,5553
2280,calibration,0.6,4587
2308,calibration,0.4827586206896552,13307
2334,calibration,0.6551724137931034,2445
2337,calibration,0.48936170212765956,10667
2344,calibration,0.5151515151515151,1303
2345,calibration,0.45,1567
2347,calibration,0.7017543859649122,1859
2369,calibration,0.45454545454545453,3829
2371,calibration,0.575,13454
2388,calibration,0.36,3253
2404,calibration,0.6129032258064516,2316
2413,calibration,0.6470588235294118,3149
2414,calibration,0.5588235294117647,4578
2421,calibration,0.45,2473
2424,calibration,0.6818181818181818,2744
2426,calibration,0.5172413793103449,7714
2427,calibration,0.4230769230769231,15047
2441,calibration,0.5531914893617021,13436
2442,calibration,0.20689655172413793,8412
2443,calibration,0.4117647058823529,1654
2448,calibration,0.4666666666666667,4049
2449,calibration,0.4864864864864865,6014
2454,calibration,0.375,6649
2456,calibration,0.3125,11127
2462,calibration,0.7,16411
2465,calibration,0.6333333333333333,2694
2467,calibration,0.6170212765957447,122
2475,calibration,0.6949152542372882,5246
2483,calibration,0.875,2744
2485,calibration,0.5714285714285714,13787
2487,calibration,0.3333333333333333,1645
2503,calibration,0.45714285714285713,1895
2507,calibration,0.6666666666666666,4
2521,calibration,0.6730769230769231,1429
2522,calibration,0.5581395348837209,2377
2529,calibration,0.3793103448275862,9156
2534,calibration,0.2236842105263158,828
2539,calibration,0.6470588235294118,920
2540,calibration,0.4,3035
2546,calibration,0.3958333333333333,1341
2558,calibration,0.6097560975609756,12152
2565,calibration,0.6065573770491803,5508
2566,calibration,0.5967741935483871,5508
2567,calibration,0.6779661016949152,1859
2570,calibration,0.6417910447761194,5927
2574,calibration,0.6086956521739131,4604
2577,calibration,0.4411764705882353,1172
2578,calibration,0.56,9180
2586,calibration,0.68,2587
2588,calibration,0.4166666666666667,10799
2590,calibration,0.3548387096774194,6504
2591,calibration,0.5,3277
2595,calibration,0.5245901639344263,14095
2624,calibration,0.2857142857142857,8438
2630,calibration,0.48214285714285715,1193
2631,calibration,0.31343283582089554,10486
2635,calibration,0.25925925925925924,748
2640,calibration,0.5384615384615384,2498
2642,calibration,0.6226415094339622,2550
2644,calibration,0.671875,2054
2651,calibration,0.6774193548387096,1827
2653,calibration,0.6,1206
2654,calibration,0.5217391304347826,1206
2655,calibration,0.5,1206
2658,calibration,0.5,1206
2659,calibration,0.5178571428571429,7106
2663,calibration,0.7857142857142857,2664
2669,calibration,0.2571428571428571,1480
2670,calibration,0.59375,2638
