run,role,n,median,p90,maximum,fraction_ge_0_6,fraction_ge_0_8,fraction_equal_1
butina03_seed42,calibration,1933,0.5517241379310345,0.6829268292682927,0.9807692307692307,0.36989136057941024,0.016554578375581996,0.0
butina03_seed42,test,2607,0.5714285714285714,0.6944444444444444,0.9821428571428571,0.43498273878020716,0.018795550441120062,0.0
butina04_seed42,calibration,2142,0.5,0.6666666666666666,0.9722222222222222,0.16993464052287582,0.021475256769374416,0.0
butina04_seed42,test,2532,0.5,0.660377358490566,0.9310344827586207,0.16311216429699843,0.018167456556082148,0.0
butina04_seed43,calibration,2005,0.52,0.7021276595744681,0.9333333333333333,0.21496259351620947,0.02593516209476309,0.0
butina04_seed43,test,2459,0.5,0.66044474393531,0.9743589743589743,0.16795445302968687,0.02074013826758845,0.0
butina04_seed44,calibration,2176,0.5151515151515151,0.6666666666666666,0.9655172413793104,0.17601102941176472,0.01838235294117647,0.0
butina04_seed44,test,2387,0.5116279069767442,0.6891954022988507,0.9743589743589743,0.1822371177209887,0.03016338500209468,0.0
butina04_seed45,calibration,2025,0.5116279069767442,0.6666666666666666,0.9333333333333333,0.1797530864197531,0.02271604938271605,0.0
butina04_seed45,test,2554,0.5172413793103449,0.6742669362992924,0.9333333333333333,0.18285043069694595,0.022709475332811275,0.0
butina04_seed46,calibration,1905,0.5128205128205128,0.6595744680851063,0.9655172413793104,0.15853018372703412,0.02204724409448819,0.0
butina04_seed46,test,2550,0.5121951219512195,0.6904761904761905,0.9743589743589743,0.1988235294117647,0.025490196078431372,0.0
butina05_seed42,calibration,1903,0.46153846153846156,0.6818181818181818,0.9473684210526315,0.186022070415134,0.02837624802942722,0.0
butina05_seed42,test,2672,0.4666666666666667,0.6923076923076923,0.972972972972973,0.21145209580838323,0.019461077844311378,0.0
random_size_matched_seed42,calibration,2142,0.6160256410256411,0.8430340557275543,1.0,0.5289449112978525,0.15546218487394958,0.02707749766573296
random_size_matched_seed42,test,2532,0.6153846153846154,0.8499056603773586,1.0,0.5300157977883097,0.15600315955766192,0.022906793048973143
random_size_matched_seed43,calibration,2005,0.6216216216216216,0.8518518518518519,1.0,0.5406483790523691,0.1655860349127182,0.02892768079800499
random_size_matched_seed43,test,2459,0.6206896551724138,0.8530846484935439,1.0,0.5429036193574623,0.16754778365189102,0.026026840178934526
random_size_matched_seed44,calibration,2176,0.6153846153846154,0.8469899665551839,1.0,0.5317095588235294,0.15303308823529413,0.027113970588235295
random_size_matched_seed44,test,2387,0.6153846153846154,0.8409090909090909,1.0,0.5328864683703394,0.15542521994134897,0.0213657310431504
random_size_matched_seed45,calibration,2025,0.6153846153846154,0.8536585365853658,1.0,0.5353086419753087,0.15703703703703703,0.029135802469135802
random_size_matched_seed45,test,2554,0.6071428571428571,0.8421052631578947,1.0,0.5160532498042286,0.15465935787000784,0.023101018010963197
random_size_matched_seed46,calibration,1905,0.6190476190476191,0.8539634146341464,1.0,0.5391076115485565,0.15905511811023623,0.029396325459317585
random_size_matched_seed46,test,2550,0.6153846153846154,0.8511426319936958,1.0,0.5360784313725491,0.1603921568627451,0.03019607843137255
repaired_reference,calibration,2014,0.6129032258064516,0.85,1.0,0.5327706057596823,0.1618669314796425,0.03326713008937438
repaired_reference,test,2521,0.6111111111111112,0.8409090909090909,1.0,0.5263784212614042,0.1519238397461325,0.027766759222530742
