cohort,seed,n_test,rmse_ADME,rmse_Plain,mse_ADME_minus_Plain,ci_low,ci_high
primary,42,2532,0.4871735717388326,0.5027954797370283,-0.015465205443217068,-0.02882784543244434,-0.000449173200888926
primary,43,2459,0.4946837709908673,0.5124253886632597,-0.01786774566494788,-0.0329121264002757,-0.004428255739066981
primary,44,2387,0.4905079420929791,0.5151742150865072,-0.024806430633709395,-0.03785712102893059,-0.012823514776825279
primary,45,2554,0.5039657080264055,0.5366801914995749,-0.03404419308146422,-0.053015831762242956,-0.01689041231257962
primary,46,2550,0.4888705375524083,0.4937571998226174,-0.004801769889891517,-0.017001701204312616,0.007487321553292236
strict_exact_identity,42,2464,0.4838232754752074,0.5097334570071924,-0.02574323530094484,-0.03916512959542278,-0.011459665690238542
strict_exact_identity,43,2392,0.49371249354717545,0.5125574645774863,-0.01896312820953135,-0.030914726346524354,-0.007381471360591695
strict_exact_identity,44,2332,0.492394230122403,0.5185165012520153,-0.026407284212797217,-0.0403434234449488,-0.01310458028296701
strict_exact_identity,45,2500,0.5101973319598029,0.5425907506085851,-0.03410340510708654,-0.05985821907969382,-0.013174787521062959
strict_exact_identity,46,2494,0.48409076333554807,0.5004357074558222,-0.01609203015001575,-0.02859311675569746,-0.003443250462836945
