feature,mean_absolute_shap,group
fChar,0.09348517383536854,ADME
logP,0.07643637632283289,physicochemical
Synth,0.04558463582583785,ADME
Vol,0.04331174472757206,ADME
pka_acidic,0.039401283561070706,ADME
pka_basic,0.03925043764839958,ADME
GoldenTriangle,0.03346102240912199,ADME
Dense,0.030178947899763532,ADME
logP_admet,0.029120835688501025,ADME
logVDss,0.026796665938209136,ADME
QED,0.02654083504999059,ADME
CYP2D6-inh,0.024833276415735885,ADME
MCE-18,0.02389119742896828,ADME
pgp_sub,0.020276575625851508,ADME
CYP2B6-inh,0.017776523855023596,ADME
"MW, g/mol",0.015094976309075393,physicochemical
logD,0.014021313818196351,ADME
7wc9,0.011963850572235658,docking
3b66,0.01158199825419253,docking
CYP2B6-sub,0.011437953861033665,ADME
Fsp3,0.010382587237811856,ADME
f50,0.010063232423315693,ADME
logS,0.009955597990743699,ADME
CYP2C19-inh,0.009911484725413627,ADME
TPSA,0.009269371542911789,ADME
FP_1028,0.00893797044383547,fingerprints
CYP2C19-sub,0.008864677172087426,ADME
PAMPA,0.008296992173024998,ADME
t0.5,0.008148324185957302,ADME
CYP1A2-sub,0.007978020336890126,ADME
mp,0.00759621886024242,ADME
5i71,0.007433158931944246,docking
Natural Product-likeness,0.007317124663483462,ADME
CYP2C9-sub,0.007027574387672278,ADME
FP_656,0.006915493734450974,fingerprints
7f8y,0.006911047110173282,docking
nRot,0.00684286267920746,ADME
FP_674,0.006506949608780714,fingerprints
8e9y,0.006497954399399814,docking
Fu,0.006474910212667956,ADME
Flex,0.006371698016716304,ADME
FP_881,0.006225378552430503,fingerprints
nHD,0.006071478077587537,ADME
f30,0.00604389191961043,ADME
bp,0.005741357754099841,ADME
FP_1325,0.005652010039183889,fingerprints
OATP1B3,0.005561948862631873,ADME
cl-plasma,0.00551167144617267,ADME
CYP1A2-inh,0.005472664547805072,ADME
CYP2C8-inh,0.005443977897004204,ADME
MRP1,0.005436710608437065,ADME
nHet,0.005391500093106437,ADME
MDCK,0.005387492652598344,ADME
FP_675,0.005225362651147314,fingerprints
3kk6,0.005098180398517121,docking
hia,0.005048945477883501,ADME
FP_1970,0.00489874558915221,fingerprints
CYP3A4-inh,0.004724816713751858,ADME
BCRP,0.004687846179514584,ADME
LM-human,0.004586435992387375,ADME
FP_695,0.004517283641195252,fingerprints
nRig,0.004433760322020101,ADME
nRing,0.004295006877028341,ADME
pgp_inh,0.004161834369432764,ADME
nHA,0.004115357734735769,ADME
FP_1897,0.0040190280904780235,fingerprints
MaxRing,0.004004000214554368,ADME
FP_1456,0.0039691940311509565,fingerprints
PPB,0.0039630002602672534,ADME
1xoq,0.003730837716534927,docking
CYP2C9-inh,0.003606251312671947,ADME
CYP3A4-sub,0.003587576975194211,ADME
caco2,0.0035543766670935372,ADME
CYP2D6-sub,0.003492590543719334,ADME
FP_1917,0.003409011903045311,fingerprints
9eo4,0.0033862102891875985,docking
FP_1088,0.003254269749621999,fingerprints
8yn3,0.0032166965208361847,docking
2rh1,0.0031829987633022884,docking
FP_807,0.0031121020392468318,fingerprints
FP_389,0.003059303420273689,fingerprints
FP_1104,0.0030312651048635623,fingerprints
2vt4,0.0030131164412383195,docking
FP_1534,0.0029995217063661997,fingerprints
BBB,0.0029305222411136894,ADME
8fhs,0.002893717708758251,docking
f20,0.0028819164911689345,ADME
FP_1152,0.002870949473927966,fingerprints
gasa,0.002816610300858765,ADME
6x3x,0.0027461184557571253,docking
2ydo,0.002724641605750471,docking
FP_1873,0.0027094233148249364,fingerprints
5va1,0.002694856449707766,docking
FP_1934,0.002632820240198881,fingerprints
FP_935,0.0024963154654876474,fingerprints
8st0,0.002375512586696253,docking
FP_313,0.0023657540293151764,fingerprints
2z5x,0.0023651952579610575,docking
OATP1B1,0.002287320904162082,ADME
FP_838,0.0022853888650175838,fingerprints
FP_1214,0.002195933135765024,fingerprints
FP_1,0.0021929167367256324,fingerprints
FP_1236,0.0021764404831765994,fingerprints
FP_482,0.0021724515277457717,fingerprints
FP_1422,0.0021679490462863564,fingerprints
8ef6,0.002136126950331019,docking
4iar,0.002099680746222588,docking
FP_643,0.0020110394709000378,fingerprints
FP_960,0.0020031761501637514,fingerprints
FP_80,0.002002527910689361,fingerprints
7kwe,0.001971295403723429,docking
BSEP,0.0019425889554807606,ADME
8wty,0.0019260440134519653,docking
FP_1457,0.0018799041940131458,fingerprints
6cm4,0.0018493825096715549,docking
3rze,0.0018319376881861553,docking
6kux,0.0018137749481444755,docking
FP_523,0.0018065222296594903,fingerprints
FP_1257,0.0017921723673549792,fingerprints
FP_463,0.0017632036227188948,fingerprints
FP_1856,0.0017447078508467865,fingerprints
FP_628,0.001730311202804653,fingerprints
4djh,0.0017142063034697186,docking
FP_301,0.001681314021495723,fingerprints
FP_1604,0.0016488611039362589,fingerprints
1m2z,0.0016143655030968142,docking
3ln1,0.0015970649614027574,docking
FP_1480,0.0015778500106104338,fingerprints
FP_1998,0.001573600831313026,fingerprints
FP_489,0.0015557630013417522,fingerprints
5tvn,0.0015514501977539003,docking
FP_486,0.0015362847183237576,fingerprints
BMS,0.001526702933736965,ADME
FP_322,0.0015262767327491689,fingerprints
FP_179,0.0015248760885402158,fingerprints
5cxv,0.0015158239761308915,docking
FP_140,0.0014930993074157924,fingerprints
FP_1792,0.001484299052676692,fingerprints
FP_1984,0.0014739647820991954,fingerprints
FP_425,0.001472181935641289,fingerprints
FP_878,0.0014564654496720792,fingerprints
FP_74,0.0014479108520616332,fingerprints
FP_1804,0.0014332988150739417,fingerprints
FP_650,0.0014143191166163648,fingerprints
FP_1083,0.0014084404562866271,fingerprints
FP_142,0.0014002713819090782,fingerprints
FP_1543,0.0013740350003766922,fingerprints
FP_417,0.0013736093804373958,fingerprints
5u09,0.0013719295500278746,docking
FP_1928,0.0013144822313554438,fingerprints
FP_1263,0.0012912540426305548,fingerprints
6pdj,0.0012484487538897506,docking
8pjk,0.0012107021233439146,docking
FP_1729,0.001178846882936497,fingerprints
4mqs,0.001177652637015725,docking
8xvk,0.0011774686738124404,docking
FP_192,0.0011415185372454966,fingerprints
FP_1693,0.0011394480423095213,fingerprints
FP_1999,0.0011341202640498046,fingerprints
FP_402,0.001131857261736808,fingerprints
V1A,0.0011286262763249956,docking
6y1z,0.001116536561273315,docking
FP_25,0.0011038655507338469,fingerprints
FP_162,0.0010801944935677585,fingerprints
Alarm_NMR,0.001077675126874248,ADME
FP_1573,0.0010766585714885788,fingerprints
FP_998,0.0010628605495675767,fingerprints
FP_1048,0.001060078951014026,fingerprints
FP_1531,0.0010390456583379349,fingerprints
FP_573,0.0010182014653332657,fingerprints
FP_915,0.0010181231090959752,fingerprints
FP_294,0.001003906131930364,fingerprints
FP_716,0.000993859921533879,fingerprints
7xnk,0.0009861440612293896,docking
FP_312,0.000980691264861555,fingerprints
FP_414,0.0009727337583738044,fingerprints
FP_1384,0.0009723084351476298,fingerprints
FP_314,0.0009653883857854741,fingerprints
FP_378,0.0009624382513133507,fingerprints
FP_1114,0.0009518957844937687,fingerprints
FP_1290,0.0009254420124491542,fingerprints
FP_680,0.0009061453687874488,fingerprints
FP_1410,0.0009005320092834747,fingerprints
FP_1989,0.0008706958830205997,fingerprints
FP_1530,0.000867020704563058,fingerprints
FP_1602,0.0008454248366885465,fingerprints
FP_197,0.0008358450495638267,fingerprints
FP_208,0.0008333291049835224,fingerprints
FP_1482,0.0008272397119193215,fingerprints
FP_1412,0.0008176938143602641,fingerprints
FP_1182,0.0008136086362461043,fingerprints
FP_735,0.0008102260049106048,fingerprints
FP_555,0.000804445380841489,fingerprints
FP_1219,0.0007884962447061982,fingerprints
FP_349,0.0007736758756896534,fingerprints
FP_690,0.0007593425197762068,fingerprints
4n6h,0.0007580168547326717,docking
FP_790,0.0007375116443800714,fingerprints
FP_1991,0.0007370503053622347,fingerprints
FP_1597,0.0007297744108771525,fingerprints
FP_875,0.0007209158858520598,fingerprints
FP_1281,0.0007172892266802082,fingerprints
FP_1044,0.0006950932971471465,fingerprints
FP_1326,0.0006944131330417192,fingerprints
FP_297,0.0006878815102248438,fingerprints
FP_111,0.0006765543567008356,fingerprints
FP_381,0.0006709820940878797,fingerprints
FP_947,0.0006632642929876791,fingerprints
FP_1060,0.0006550296927867805,fingerprints
FP_323,0.0006535332600607221,fingerprints
FP_107,0.0006508993025994287,fingerprints
FP_879,0.0006287512461596551,fingerprints
FP_913,0.0006070497665653196,fingerprints
FP_1017,0.0006060084347678495,fingerprints
FP_1360,0.0006044179453417992,fingerprints
FP_1745,0.0005854219151564177,fingerprints
FP_1057,0.000571502193311795,fingerprints
FP_1155,0.0005705085063436578,fingerprints
FP_1443,0.0005697477417815071,fingerprints
7ym8,0.000560465859171849,docking
FP_41,0.0005603887349122532,fingerprints
FP_1437,0.0005595992088308114,fingerprints
FP_125,0.0005563610651481474,fingerprints
FP_92,0.0005559938587667856,fingerprints
FP_190,0.0005533462663381812,fingerprints
FP_1730,0.0005504789022285422,fingerprints
FP_1376,0.0005445952961145463,fingerprints
FP_1274,0.0005390579846411865,fingerprints
FP_1859,0.0005369458491147708,fingerprints
FP_842,0.0005358230375530175,fingerprints
FP_157,0.0005328888072177364,fingerprints
FP_1434,0.0005295529229997573,fingerprints
FP_1814,0.0005251186311820488,fingerprints
6kpf,0.0005235076464430705,docking
FP_1168,0.0005197037753484792,fingerprints
FP_328,0.0005195383191265284,fingerprints
FP_1199,0.0005109416320157565,fingerprints
FP_1452,0.0005081145581684952,fingerprints
FP_222,0.0005079233887387869,fingerprints
FP_1156,0.0004988042065399477,fingerprints
FP_709,0.0004958617060072795,fingerprints
FP_1368,0.0004897802373719089,fingerprints
FP_832,0.00048353251853964574,fingerprints
FP_1387,0.0004817466614535411,fingerprints
FP_1855,0.000477722307510052,fingerprints
FP_1738,0.0004640796129507001,fingerprints
FP_1722,0.0004636688815897249,fingerprints
FP_1348,0.0004626732631003902,fingerprints
FP_448,0.0004598002644118451,fingerprints
FP_1019,0.0004551650256788206,fingerprints
FP_1453,0.0004549430898333126,fingerprints
FP_251,0.00045315495372554184,fingerprints
4ey7,0.0004507686233918983,docking
FP_1609,0.00044769614832432925,fingerprints
FP_1357,0.000442497352475628,fingerprints
FP_897,0.00044177637033338826,fingerprints
FP_932,0.00044162207073980233,fingerprints
FP_1716,0.00043621491132038925,fingerprints
FP_528,0.0004266445116636789,fingerprints
FP_67,0.0004252388488331449,fingerprints
FP_1011,0.00041758319359527275,fingerprints
FP_1280,0.00041550834818061886,fingerprints
FP_1449,0.00041455478775428734,fingerprints
FP_1386,0.00041229975156843355,fingerprints
FP_1737,0.00041192420994356257,fingerprints
FP_497,0.00039727276708883153,fingerprints
FP_1404,0.0003966571142203533,fingerprints
FP_270,0.0003955104042529304,fingerprints
FP_1683,0.00039378109658742507,fingerprints
FP_308,0.000392260237203268,fingerprints
FP_1657,0.0003903644429886452,fingerprints
FP_1098,0.000388854197971269,fingerprints
FP_725,0.00038734686956908986,fingerprints
FP_1001,0.0003792299130389804,fingerprints
FP_1138,0.00037763226371770363,fingerprints
FP_1164,0.00037675273361043217,fingerprints
FP_1411,0.0003739783354383594,fingerprints
FP_109,0.0003713185345197274,fingerprints
FP_824,0.00036947734668041766,fingerprints
FP_1532,0.0003685085669731948,fingerprints
FP_827,0.00036752025179033704,fingerprints
FP_1312,0.00036525975224832764,fingerprints
FP_718,0.00036283905534264935,fingerprints
FP_303,0.0003527949152573614,fingerprints
FP_364,0.00035243876871038257,fingerprints
FP_823,0.00035230602004138564,fingerprints
FP_753,0.00034610790627677624,fingerprints
FP_989,0.00034404865249129316,fingerprints
FP_1889,0.0003426088201475598,fingerprints
FP_1511,0.0003409719987058311,fingerprints
FP_1949,0.0003368449464843645,fingerprints
FP_469,0.0003356042741712927,fingerprints
FP_502,0.0003354895729826746,fingerprints
FP_191,0.0003320153117149258,fingerprints
FP_1352,0.00033186777751549894,fingerprints
FP_52,0.0003176884671459835,fingerprints
FP_1258,0.00031730354549211454,fingerprints
FP_606,0.00030929656342110955,fingerprints
FP_1758,0.0003078279172031878,fingerprints
FP_1507,0.0003066033287387964,fingerprints
FP_679,0.00030538884744174235,fingerprints
FP_693,0.00030232612669738935,fingerprints
FP_1202,0.0003015866451281806,fingerprints
FP_803,0.0002983899671058723,fingerprints
FP_319,0.00029462040954291666,fingerprints
FP_1817,0.0002913377908468035,fingerprints
FP_84,0.0002908267652784955,fingerprints
FP_151,0.00029006219289457597,fingerprints
FP_1066,0.00028680724509727525,fingerprints
FP_1697,0.0002817324004849143,fingerprints
FP_1385,0.00028072876773810903,fingerprints
FP_146,0.00027995998887595604,fingerprints
FP_1653,0.0002792747521449956,fingerprints
FP_290,0.0002791696273348208,fingerprints
FP_1465,0.00027834783534824573,fingerprints
FP_478,0.00027349207402039655,fingerprints
FP_1321,0.00027010944949515495,fingerprints
FP_336,0.000268276349099604,fingerprints
FP_1424,0.0002646745362067197,fingerprints
1pbq,0.00026336882951540996,docking
FP_694,0.0002612150658548827,fingerprints
FP_1851,0.00025782824843668224,fingerprints
FP_183,0.00025704970950137266,fingerprints
FP_326,0.00025699482649656506,fingerprints
FP_2043,0.00025619264854763164,fingerprints
FP_950,0.0002552957657073098,fingerprints
FP_1809,0.00025286883474545446,fingerprints
FP_590,0.0002508104219422778,fingerprints
FP_1496,0.00024955078287025394,fingerprints
FP_210,0.0002488666549331093,fingerprints
FP_1868,0.0002471852862041879,fingerprints
FP_1759,0.0002460776850123051,fingerprints
FP_987,0.00024331993935146757,fingerprints
FP_904,0.00023745075116078694,fingerprints
FP_1518,0.00023652534305615305,fingerprints
FP_768,0.00023489476615817985,fingerprints
FP_1179,0.0002348026503391316,fingerprints
FP_1327,0.00023315834205916552,fingerprints
FP_1563,0.00023169605857275208,fingerprints
FP_1485,0.000229528266345161,fingerprints
FP_1619,0.00022593896353031856,fingerprints
FP_623,0.00022153960307268707,fingerprints
FP_242,0.0002210728579626709,fingerprints
FP_1429,0.00022100537913044143,fingerprints
FP_407,0.00021949096014844664,fingerprints
FP_1892,0.00021904556960947565,fingerprints
FP_1798,0.00021623347804521125,fingerprints
FP_400,0.00021556643997887583,fingerprints
FP_114,0.00021554147861553143,fingerprints
FP_384,0.00021238610837346698,fingerprints
FP_265,0.00020922613928991748,fingerprints
FP_2001,0.00020908080424893527,fingerprints
FP_229,0.00020843374180995876,fingerprints
FP_902,0.00020827578302613764,fingerprints
FP_1996,0.00020524309100457185,fingerprints
FP_1225,0.000204529836566258,fingerprints
FP_595,0.00020443313908256078,fingerprints
FP_26,0.0002030878570897911,fingerprints
FP_1293,0.00020143069656095144,fingerprints
FP_769,0.0002007633013358779,fingerprints
FP_24,0.0002005896283542222,fingerprints
FP_840,0.00019940891232104853,fingerprints
FP_710,0.00019912403316343932,fingerprints
FP_1393,0.00019891413703931199,fingerprints
FP_962,0.0001958086843857894,fingerprints
FP_1797,0.00019437831517511852,fingerprints
FP_1278,0.00019272194191852086,fingerprints
FP_94,0.000192309751124809,fingerprints
FP_1671,0.00018660242115905445,fingerprints
FP_732,0.00018508270271834048,fingerprints
FP_121,0.00018488467255211883,fingerprints
FP_588,0.00018484706111070298,fingerprints
FP_1009,0.00018466448861428913,fingerprints
FP_1871,0.00018432723441173273,fingerprints
FP_204,0.00018349965295028425,fingerprints
FP_750,0.0001828059235323723,fingerprints
FP_248,0.00018190044303904848,fingerprints
FP_1587,0.0001804771104307581,fingerprints
FP_1866,0.00017911911725303648,fingerprints
FP_354,0.0001770245857907908,fingerprints
FP_352,0.00017591233515881064,fingerprints
FP_228,0.00017508134994723105,fingerprints
FP_978,0.00017363572141701957,fingerprints
FP_387,0.0001726651689320106,fingerprints
FP_1265,0.00017263925453635137,fingerprints
FP_1985,0.00017191598547355424,fingerprints
FP_1768,0.0001711303967213876,fingerprints
FP_11,0.0001696117416420727,fingerprints
FP_1939,0.00016916350558053724,fingerprints
FP_131,0.00016884375406648895,fingerprints
FP_1043,0.00016868175797989007,fingerprints
FP_883,0.00016823884224491752,fingerprints
FP_1909,0.00016580397490018257,fingerprints
FP_884,0.00016167395635337172,fingerprints
FP_2005,0.00015999650204563968,fingerprints
FP_784,0.00015921315863982635,fingerprints
FP_305,0.00015920233146306774,fingerprints
FP_298,0.00015854656291025625,fingerprints
