ligand_id,inner_role
1,fit
2,fit
3,fit
6,fit
8,fit
9,fit
10,fit
11,fit
14,early_stopping
16,fit
18,fit
20,fit
21,fit
22,fit
24,fit
25,fit
26,fit
27,fit
30,early_stopping
33,fit
34,early_stopping
36,early_stopping
39,fit
40,fit
41,fit
43,fit
45,fit
46,early_stopping
47,fit
48,fit
49,fit
50,fit
51,fit
53,fit
54,fit
55,fit
56,fit
57,fit
58,fit
59,fit
62,fit
63,fit
65,fit
66,fit
68,fit
69,fit
70,fit
71,fit
73,fit
74,fit
75,fit
76,fit
78,early_stopping
79,fit
81,fit
82,fit
83,fit
85,fit
90,early_stopping
91,fit
92,fit
93,fit
94,fit
97,fit
98,fit
100,fit
101,fit
104,fit
105,early_stopping
109,fit
111,fit
112,fit
114,fit
116,fit
118,fit
119,fit
121,fit
122,fit
123,early_stopping
124,early_stopping
125,fit
128,fit
129,fit
130,fit
131,early_stopping
135,fit
138,fit
140,fit
142,fit
144,fit
145,fit
148,fit
149,fit
150,fit
151,early_stopping
152,fit
157,fit
158,fit
159,fit
160,fit
163,fit
164,fit
165,early_stopping
166,fit
170,fit
173,fit
178,fit
179,early_stopping
180,fit
182,fit
184,fit
194,fit
195,fit
196,fit
200,fit
201,fit
203,fit
204,fit
206,fit
208,fit
210,early_stopping
215,fit
216,fit
217,fit
218,fit
219,fit
225,fit
226,fit
227,fit
229,fit
230,fit
231,fit
234,fit
236,early_stopping
237,early_stopping
241,fit
243,fit
244,fit
245,fit
249,fit
251,fit
257,fit
260,fit
261,fit
262,fit
263,fit
264,fit
265,early_stopping
266,fit
268,fit
269,early_stopping
270,fit
272,fit
273,fit
275,fit
280,fit
281,fit
283,fit
287,fit
288,fit
289,fit
292,fit
293,fit
295,early_stopping
298,fit
299,fit
301,fit
302,fit
306,fit
307,fit
310,early_stopping
312,fit
317,early_stopping
318,early_stopping
322,early_stopping
323,fit
325,fit
326,fit
327,fit
332,fit
334,fit
335,early_stopping
337,fit
338,fit
339,fit
340,fit
345,fit
346,fit
353,fit
358,early_stopping
359,fit
360,fit
361,fit
362,fit
365,fit
366,fit
368,fit
370,fit
374,fit
377,fit
379,fit
380,fit
383,early_stopping
386,fit
388,fit
391,fit
393,fit
394,fit
395,early_stopping
396,fit
397,early_stopping
401,fit
403,fit
405,fit
406,early_stopping
407,fit
410,fit
411,fit
412,early_stopping
415,fit
416,fit
418,early_stopping
421,fit
427,fit
431,fit
432,early_stopping
433,fit
434,fit
436,fit
437,fit
438,fit
440,fit
442,early_stopping
446,fit
448,fit
450,fit
451,fit
452,fit
456,fit
457,fit
459,fit
461,early_stopping
462,fit
463,fit
468,fit
469,fit
471,fit
473,fit
478,early_stopping
482,fit
483,fit
486,fit
487,fit
489,fit
492,fit
493,fit
495,fit
496,fit
497,fit
498,fit
499,early_stopping
500,fit
501,fit
506,fit
507,fit
508,fit
509,fit
511,fit
514,fit
515,fit
516,fit
519,fit
520,fit
521,fit
527,early_stopping
529,fit
530,fit
531,fit
532,early_stopping
541,fit
546,fit
551,fit
553,fit
556,early_stopping
559,early_stopping
565,fit
568,early_stopping
569,fit
574,fit
579,fit
580,fit
583,fit
585,fit
589,fit
593,fit
597,fit
598,early_stopping
599,fit
600,fit
602,fit
604,fit
607,fit
608,fit
617,fit
620,fit
621,early_stopping
623,fit
624,fit
625,fit
626,fit
627,fit
629,fit
630,fit
631,fit
642,fit
643,fit
645,fit
647,fit
649,fit
651,fit
655,fit
658,fit
668,fit
671,early_stopping
672,fit
677,fit
679,fit
680,fit
681,fit
682,early_stopping
683,fit
684,fit
694,fit
695,fit
696,fit
697,fit
699,fit
700,fit
705,fit
706,fit
708,fit
712,fit
718,fit
721,fit
726,fit
728,fit
731,fit
735,fit
738,fit
740,early_stopping
744,fit
745,fit
747,fit
748,early_stopping
752,fit
753,fit
754,fit
755,fit
757,fit
761,fit
763,fit
764,early_stopping
766,early_stopping
768,early_stopping
769,early_stopping
771,fit
772,early_stopping
776,fit
778,fit
780,fit
782,fit
783,fit
786,fit
789,early_stopping
791,fit
793,fit
795,early_stopping
798,early_stopping
800,fit
801,fit
802,fit
803,fit
804,fit
805,fit
806,early_stopping
807,early_stopping
809,fit
812,fit
814,early_stopping
815,fit
818,fit
819,fit
821,fit
825,fit
827,fit
828,fit
829,fit
830,fit
832,fit
837,fit
840,fit
844,fit
845,fit
848,fit
852,fit
854,fit
856,fit
859,fit
861,fit
863,fit
864,fit
867,fit
872,fit
873,fit
875,fit
877,fit
879,fit
881,fit
882,fit
884,fit
887,fit
892,fit
893,fit
895,fit
896,fit
898,fit
901,fit
903,fit
907,fit
911,fit
912,fit
915,fit
921,fit
922,fit
924,fit
926,fit
928,fit
932,fit
934,fit
938,fit
939,fit
940,fit
941,fit
946,fit
947,fit
949,early_stopping
950,fit
952,fit
954,fit
956,fit
957,early_stopping
959,early_stopping
960,fit
961,fit
962,fit
964,fit
967,fit
968,fit
969,fit
971,fit
972,fit
973,fit
974,fit
975,fit
977,fit
978,fit
979,fit
981,fit
982,fit
983,fit
984,early_stopping
985,fit
987,fit
988,fit
989,fit
990,fit
991,fit
994,fit
997,fit
998,fit
1001,fit
1002,fit
1005,fit
1006,fit
1007,fit
1010,fit
1011,fit
1012,fit
1013,fit
1015,fit
1016,fit
1017,fit
1019,fit
1020,fit
1025,fit
1026,fit
1027,early_stopping
1028,fit
1029,fit
1030,fit
1031,early_stopping
1032,fit
1034,fit
1035,fit
1037,fit
1039,fit
1042,fit
1044,fit
1045,fit
1046,fit
1049,fit
1050,fit
1051,fit
1052,fit
1053,fit
1056,early_stopping
1057,fit
1058,fit
1061,fit
1063,early_stopping
1064,fit
1066,fit
1067,fit
1072,fit
1074,fit
1075,early_stopping
1076,fit
1077,fit
1078,fit
1081,fit
1082,fit
1083,fit
1084,fit
1085,fit
1086,fit
1087,fit
1088,fit
1089,fit
1091,fit
1092,early_stopping
1093,fit
1094,fit
1095,fit
1097,fit
1098,early_stopping
1099,fit
1100,fit
1101,fit
1102,fit
1103,fit
1104,fit
1106,fit
1107,fit
1111,fit
1114,fit
1116,fit
1117,fit
1121,early_stopping
1122,fit
1123,fit
1124,fit
1125,fit
1126,early_stopping
1127,fit
1128,early_stopping
1129,fit
1130,fit
1132,fit
1133,fit
1135,fit
1136,fit
1137,early_stopping
1141,fit
1142,fit
1144,early_stopping
1147,fit
1149,fit
1152,fit
1153,fit
1154,fit
1155,fit
1157,fit
1159,fit
1161,fit
1167,fit
1169,fit
1170,early_stopping
1172,fit
1173,early_stopping
1175,fit
1176,fit
1182,fit
1186,fit
1192,fit
1193,fit
1199,fit
1200,fit
1203,fit
1205,fit
1214,fit
1215,fit
1216,fit
1218,fit
1219,fit
1220,fit
1222,fit
1225,fit
1228,fit
1229,fit
1234,fit
1239,fit
1243,fit
1244,fit
1245,early_stopping
1247,fit
1248,fit
1249,fit
1252,fit
1253,fit
1254,fit
1255,fit
1257,fit
1260,early_stopping
1261,early_stopping
1262,fit
1263,fit
1264,fit
1268,fit
1273,fit
1274,fit
1276,fit
1277,early_stopping
1279,fit
1280,fit
1282,fit
1283,fit
1284,fit
1285,fit
1289,fit
1290,fit
1292,fit
1293,fit
1295,fit
1296,fit
1297,fit
1298,fit
1299,fit
1300,fit
1302,fit
1303,fit
1304,fit
1305,fit
1307,early_stopping
1308,fit
1309,fit
1310,fit
1311,fit
1312,fit
1313,fit
1315,fit
1316,fit
1317,fit
1318,fit
1320,early_stopping
1322,fit
1323,fit
1324,fit
1326,fit
1329,fit
1331,fit
1333,fit
1334,fit
1335,fit
1336,fit
1338,fit
1341,fit
1342,fit
1343,fit
1344,early_stopping
1346,fit
1351,fit
1352,fit
1354,early_stopping
1355,fit
1359,fit
1360,fit
1361,fit
1362,fit
1364,early_stopping
1365,fit
1366,fit
1367,fit
1370,fit
1371,fit
1372,fit
1375,fit
1377,fit
1378,early_stopping
1379,fit
1381,fit
1385,fit
1389,fit
1390,fit
1391,fit
1392,fit
1393,fit
1394,fit
1397,fit
1398,fit
1399,fit
1401,fit
1402,fit
1403,fit
1405,fit
1406,fit
1407,fit
1408,fit
1412,fit
1416,fit
1418,fit
1420,fit
1423,fit
1424,fit
1425,fit
1426,early_stopping
1427,fit
1429,fit
1430,fit
1431,fit
1432,fit
1433,fit
