ligand_id,role,cluster_id,row_index
4,calibration,4,3
12,calibration,12,9
28,calibration,28,24
50,calibration,50,45
60,calibration,60,55
62,calibration,62,56
67,calibration,67,61
103,calibration,103,92
125,calibration,125,107
138,calibration,138,115
142,calibration,142,119
150,calibration,150,124
152,calibration,152,126
163,calibration,163,133
166,calibration,166,136
178,calibration,178,140
180,calibration,180,142
182,calibration,182,143
189,calibration,189,145
204,calibration,204,154
218,calibration,218,164
226,calibration,182,168
243,calibration,243,180
244,calibration,244,181
257,calibration,257,190
266,calibration,266,198
273,calibration,142,204
276,calibration,276,207
288,calibration,288,212
302,calibration,302,221
327,calibration,327,235
332,calibration,332,236
333,calibration,333,237
338,calibration,338,242
356,calibration,356,252
360,calibration,360,255
365,calibration,163,258
366,calibration,366,259
394,calibration,218,278
402,calibration,402,285
403,calibration,403,286
412,calibration,412,292
414,calibration,414,293
416,calibration,166,295
421,calibration,421,299
427,calibration,427,305
440,calibration,440,314
447,calibration,447,317
449,calibration,449,319
474,calibration,474,336
489,calibration,489,348
513,calibration,513,364
515,calibration,182,366
529,calibration,529,377
530,calibration,530,378
554,calibration,554,389
562,calibration,562,392
579,calibration,579,401
585,calibration,579,404
591,calibration,562,408
594,calibration,67,411
609,calibration,447,423
612,calibration,447,424
615,calibration,615,427
619,calibration,619,431
624,calibration,624,436
631,calibration,631,442
640,calibration,640,444
649,calibration,649,450
650,calibration,650,451
653,calibration,653,453
658,calibration,658,455
659,calibration,659,456
664,calibration,664,458
696,calibration,696,478
697,calibration,166,479
698,calibration,402,480
700,calibration,700,482
701,calibration,701,483
709,calibration,709,490
718,calibration,718,494
726,calibration,726,499
744,calibration,182,508
754,calibration,754,515
756,calibration,12,517
762,calibration,762,521
782,calibration,782,536
791,calibration,791,542
797,calibration,797,547
798,calibration,798,548
800,calibration,338,550
807,calibration,807,557
814,calibration,814,563
816,calibration,816,565
831,calibration,831,576
833,calibration,12,578
836,calibration,836,581
838,calibration,838,583
846,calibration,846,590
854,calibration,854,596
855,calibration,855,597
859,calibration,859,600
865,calibration,865,606
872,calibration,142,610
893,calibration,893,628
896,calibration,896,630
903,calibration,50,636
939,calibration,939,666
958,calibration,958,682
964,calibration,62,687
982,calibration,982,704
985,calibration,985,707
991,calibration,896,713
994,calibration,994,715
1001,calibration,896,719
