marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.34667331389861444,0.010484484104070862,0.3512654310089634,0.04280090048390168,1.0,True
Respiratory,0.331190073683538,0.012169379600335394,0.3359493602483428,0.047487296033625996,1.0,True
hERG-10um,0.32066221375420245,0.011114692220315067,0.32390831820937904,0.04498808533384802,1.0,False
Neurotoxicity-DI,0.2562825550059466,0.011952726362294887,0.2625245508768319,0.04731474044016784,1.0,True
SkinSen,0.060670164443902545,0.01332636548637647,0.047783228487383166,0.05202788256811778,1.0,False
Nephrotoxicity-DI,0.0546524521225153,0.011739611530938564,0.062168044323169185,0.04577887419283709,1.0,False
Acute_Aquatic_Toxicity,0.04205824509806882,0.01209768731710227,0.04871948325563908,0.047399107515002474,1.0,False
NonGenotoxic_Carcinogenicity,0.03509867102246443,0.012760875931453978,0.028264895838185294,0.04557772528125098,1.0,False
Skin_Sensitization,0.014654771966077505,0.013076622261222486,0.011082701100474877,0.050890355273751554,0.8666666666666667,False
Genotoxicity,0.012820696373930917,0.011262130903713608,0.01133094694680348,0.04417374796024561,0.9,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.007233823689021613,0.00930067156143187,-0.01777308612536244,0.03668841623979889,0.26666666666666666,False
H-HT,-0.05375920956846812,0.009080140674434018,-0.041683048585182195,0.03662229661875674,0.0,False
Ames,-0.07079185408589812,0.009456466085378963,-0.07387654945211214,0.037726422209454415,0.0,False
Ototoxicity,-0.0794780211844511,0.008564423996822825,-0.07953239470267616,0.03410258968903345,0.0,False
Carcinogenicity,-0.10553549064757238,0.009398006714335836,-0.10904316765218613,0.036671048042412016,0.0,False
EC,-0.11878858833736755,0.010539505349014903,-0.119432388492478,0.041841407362540536,0.0,False
Hematotoxicity,-0.14207065199358188,0.010739488788067126,-0.13354498309087712,0.042841582744531474,0.0,False
EI,-0.1935326653819029,0.009657638848356218,-0.20018122449509018,0.03757354512215577,0.0,False
DILI,-0.20558059741641282,0.007830394191510074,-0.19427744881123793,0.03067580158804989,0.0,False
