seed,model,score_joint_minus_global,ci_low,ci_high
42,Plain,-0.10551511567631833,-0.1528239700815925,-0.059581745838015246
42,ADME,-0.11019654127715642,-0.161210146663576,-0.06185849729704542
43,Plain,-0.07516228261363427,-0.10885483499075177,-0.042051294230775894
43,ADME,-0.07660940219013669,-0.11486365315765062,-0.038129926389292204
44,Plain,-0.0967917197257982,-0.12421736722875618,-0.06837038909851961
44,ADME,-0.09325551936489856,-0.12362153229350568,-0.06194728980400121
45,Plain,-0.05110983497105448,-0.10004058970391139,-0.005079863605199191
45,ADME,-0.0492925859045927,-0.0912545369638674,-0.010757831936854161
46,Plain,-0.03803813868333923,-0.08526898757978862,0.019632268566405445
46,ADME,-0.05749502971570309,-0.09910023153049546,-0.004514681777459712
