run,quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
butina03_seed42,Pheno+ MIE+,834,554,1.2411607677818843,1.3076350750679595,1.4662730812824127,0.9136690647482014,0.8890141297366732,0.9355992502444238,785
butina03_seed42,Pheno+ MIE-,522,369,1.4490899058308218,1.4210133170614732,1.5867103635630542,0.9099616858237548,0.8807670454545454,0.9355481852359124,331
butina03_seed42,Pheno- MIE+,515,431,1.5672508475179354,1.6779505237183592,1.473807341863648,0.8699029126213592,0.8356385511968918,0.90081328320802,276
butina03_seed42,Pheno- MIE-,736,580,1.7405674138420355,1.7542227050388086,1.612350502056468,0.907608695652174,0.8818640695618,0.930901814178574,143
butina04_seed42,Pheno+ MIE+,786,431,1.247235170996811,1.3920291996752785,1.48229674766906,0.8982188295165394,0.8657653330235301,0.9248806469849602,777
butina04_seed42,Pheno+ MIE-,534,290,1.4190874884979583,1.4215090490081643,1.610390365599395,0.898876404494382,0.8590984996738421,0.9312382837243848,490
butina04_seed42,Pheno- MIE+,464,329,1.6997329000359376,1.8026238089206104,1.4908500427355331,0.8879310344827587,0.8504592560270535,0.9205488717476398,214
butina04_seed42,Pheno- MIE-,748,528,1.796437988927736,1.8843583374813653,1.6513164828278013,0.8903743315508021,0.8666666666666667,0.9135806390888984,186
butina04_seed43,Pheno+ MIE+,760,417,1.2783253178342369,1.3368870431215438,1.4276153446335789,0.913157894736842,0.8872161654135338,0.9356082975423526,755
butina04_seed43,Pheno+ MIE-,554,296,1.4185372993616672,1.376741559541159,1.5271529598740723,0.8844765342960289,0.8469368222020816,0.9161132582978612,419
butina04_seed43,Pheno- MIE+,441,330,1.5200791281049215,1.6049901000148796,1.432380272701801,0.8775510204081632,0.8412932443673975,0.9101971679219818,265
butina04_seed43,Pheno- MIE-,704,517,1.6519234695698255,1.672414700588587,1.5571443836047405,0.890625,0.8603676923676233,0.9190762070724244,157
butina04_seed44,Pheno+ MIE+,830,446,1.4594775912803977,1.5045898396189912,1.6017653790933917,0.9578313253012049,0.9364067719851316,0.975806695401178,816
butina04_seed44,Pheno+ MIE-,425,287,1.6244820479281492,1.599965626505459,1.7445478199888176,0.8611764705882353,0.8088519970595442,0.9055700882047736,277
butina04_seed44,Pheno- MIE+,442,339,1.7235158054583797,1.8735775377144184,1.608564480144063,0.920814479638009,0.8914549653579676,0.9474913261948914,266
butina04_seed44,Pheno- MIE-,690,488,1.8971944373291172,1.9531737417081272,1.767841046636271,0.8898550724637682,0.8596704554737885,0.9156630961716689,81
butina04_seed45,Pheno+ MIE+,830,433,1.151173828521918,1.1949783818060762,1.4365666236530297,0.8734939759036144,0.8393035989194528,0.9045846964740094,829
butina04_seed45,Pheno+ MIE-,537,308,1.3081653010204448,1.2815666550032108,1.5413872420587926,0.8324022346368715,0.7854294508539316,0.8743496560928036,437
butina04_seed45,Pheno- MIE+,480,353,1.5776271841922584,1.6540304858108077,1.444272776106743,0.88125,0.8433464227246582,0.9136561733660306,191
butina04_seed45,Pheno- MIE-,707,459,1.735048949148711,1.754660537481815,1.563090568949601,0.9038189533239038,0.866077794636469,0.934946710921829,58
butina04_seed46,Pheno+ MIE+,845,427,1.283511007422136,1.3439664502195852,1.4868223289442757,0.8958579881656805,0.8556538151994787,0.9287401045294356,844
butina04_seed46,Pheno+ MIE-,513,281,1.447425248546527,1.4094893667583586,1.584062388903839,0.884990253411306,0.8405499463776704,0.9271660919927835,398
butina04_seed46,Pheno- MIE+,470,344,1.6141293557854837,1.7305628938331403,1.4919256154906166,0.8829787234042553,0.849015317286652,0.9150593139723574,247
butina04_seed46,Pheno- MIE-,722,502,1.7232990637825505,1.8083418567312497,1.619229731322642,0.8975069252077562,0.8697449992266846,0.9235927218928418,98
butina05_seed42,Pheno+ MIE+,768,283,1.2807405186998884,1.301993825372496,1.598292820214792,0.9270833333333334,0.9048990346828965,0.9477353146715486,694
butina05_seed42,Pheno+ MIE-,519,217,1.3879834272063265,1.385682933345383,1.6242751215343132,0.882466281310212,0.8363234169957956,0.9215358707988364,438
butina05_seed42,Pheno- MIE+,576,300,1.6067750221418868,1.6404135641608408,1.6002344597414035,0.8993055555555556,0.8641102005593081,0.931037450293786,347
butina05_seed42,Pheno- MIE-,809,448,1.752981700355423,1.7741710710860277,1.6318252435329956,0.8838071693448702,0.8503596387920591,0.9150139903716918,311
random_size_matched_seed42,Pheno+ MIE+,752,594,1.1894791788701788,1.2374814251528696,1.3708652609205003,0.9268617021276596,0.9060824034427576,0.9458737383114172,749
random_size_matched_seed42,Pheno+ MIE-,520,415,1.307048643547526,1.2988240963915036,1.4558804341803082,0.8692307692307693,0.8376862867526097,0.8996327295127174,435
random_size_matched_seed42,Pheno- MIE+,490,427,1.4789286700443849,1.5469386004222598,1.3753117687679643,0.8979591836734694,0.8695630347476864,0.9238369300717212,232
random_size_matched_seed42,Pheno- MIE-,770,666,1.5864175043014817,1.612719089134294,1.46504490263158,0.8909090909090909,0.8669229562612585,0.9137266257854492,147
random_size_matched_seed43,Pheno+ MIE+,701,563,1.2092665677687044,1.2675212500380404,1.3937278227329415,0.9386590584878745,0.9201068964369932,0.956031168346398,641
random_size_matched_seed43,Pheno+ MIE-,511,406,1.3564962339320086,1.330265072041502,1.4792557026254154,0.8845401174168297,0.8543669941670058,0.9108954917230854,347
random_size_matched_seed43,Pheno- MIE+,480,419,1.4709269838863035,1.5259591720905614,1.3985299121487187,0.8625,0.8291111841744753,0.8927040798596029,237
random_size_matched_seed43,Pheno- MIE-,767,670,1.5866121906127957,1.58022740842947,1.491414840953534,0.8917861799217731,0.8694502331957812,0.9140346121430192,118
random_size_matched_seed44,Pheno+ MIE+,745,584,1.2219410314004653,1.2890571392816452,1.4061792805222368,0.9248322147651008,0.9045681963209083,0.9433968470705064,735
random_size_matched_seed44,Pheno+ MIE-,470,390,1.410508567292465,1.3707645592800637,1.5282735883867675,0.8872340425531915,0.858378721859114,0.9137632200657968,320
random_size_matched_seed44,Pheno- MIE+,456,404,1.5121919020503083,1.5907051929176987,1.4114789251224855,0.8991228070175439,0.8719590411747768,0.925679851199514,277
random_size_matched_seed44,Pheno- MIE-,716,638,1.655278916954585,1.6578301751786504,1.5604617066561266,0.8910614525139665,0.8673320336470645,0.9143269128846562,112
random_size_matched_seed45,Pheno+ MIE+,767,618,1.1568514658860247,1.2293903639569004,1.3297221388509834,0.910039113428944,0.88669193855099,0.9296880180702918,765
random_size_matched_seed45,Pheno+ MIE-,555,441,1.3134874034743294,1.291389748101766,1.4596265253195748,0.8756756756756757,0.8454541222278652,0.9045157205657492,423
random_size_matched_seed45,Pheno- MIE+,492,434,1.4326776598584583,1.5215276860238327,1.3352968416759747,0.8658536585365854,0.8336589846359385,0.897796673897894,268
random_size_matched_seed45,Pheno- MIE-,740,652,1.5810913744615047,1.5778354390240006,1.493132249299109,0.8918918918918919,0.869157301953662,0.9155337848278252,170
random_size_matched_seed46,Pheno+ MIE+,769,604,1.2257812353545412,1.266937057386686,1.3927091905748443,0.9206762028608584,0.9005233911008292,0.9397124626138388,765
random_size_matched_seed46,Pheno+ MIE-,486,397,1.3540088853191956,1.3359268096911123,1.4999271966515957,0.8600823045267489,0.8277175879805639,0.8914951212901477,396
random_size_matched_seed46,Pheno- MIE+,503,447,1.4947656044595112,1.6152633188425167,1.3986357950261388,0.8966202783300199,0.8684105263157895,0.9232247620155488,300
random_size_matched_seed46,Pheno- MIE-,792,665,1.6412810557963835,1.702306711032595,1.5391949065340058,0.8964646464646465,0.87468671679198,0.9168734282787728,208
repaired_reference,Pheno+ MIE+,781,644,1.209972186374987,1.269916753023851,1.401918781678469,0.912932138284251,0.8915646901330814,0.933082752492156,722
repaired_reference,Pheno+ MIE-,488,416,1.378112663032749,1.355773408758951,1.4898204700824136,0.8913934426229508,0.8617831586373715,0.9188611308677098,334
repaired_reference,Pheno- MIE+,523,478,1.5091793751468965,1.5943742407867298,1.4049453341846607,0.8833652007648184,0.8533822055137845,0.9106161523024352,228
repaired_reference,Pheno- MIE-,729,663,1.6105898280008637,1.6273354657737602,1.514091997186757,0.879286694101509,0.8549931600547196,0.9048308634938728,84
