model,group,mean_abs_grouped_shap,n_features,n_sample
Baseline,Fingerprints,0.21950027643459064,2048,512
Baseline,Proteins,0.11430748465780911,44,512
Baseline,PhysChem,0.17422552269683933,2,512
Baseline,ADME,,0,512
PCA,Fingerprints,0.2313142456987919,2048,512
PCA,Proteins,0.07267910680492534,3,512
PCA,PhysChem,0.202110988137436,2,512
PCA,ADME,,0,512
ADME,Fingerprints,0.06880085459817428,2048,512
ADME,Proteins,0.038254008841594106,44,512
ADME,PhysChem,0.08367340427779031,2,512
ADME,ADME,0.2677654281965919,68,512
Plain,Fingerprints,0.24501434819856893,2048,512
Plain,Proteins,,0,512
Plain,PhysChem,0.2147202080313521,2,512
Plain,ADME,,0,512
BBB pass,Fingerprints,0.18128898087164147,2048,512
BBB pass,Proteins,0.08957779757870597,44,512
BBB pass,PhysChem,0.13870159402787738,2,512
BBB pass,ADME,,0,512
